frame,X,Y,Xs,Ys,inliers,ref_idx,mode
43,0.3231715437049612,0.5455719754364994,0.3231715437049612,0.5455719754364994,96,1,ref
44,0.31907599675417475,0.5618279616603647,0.31907599675417475,0.5618279616603647,96,1,ref
45,0.3164440755569221,0.5793576495078963,0.3164440755569221,0.5793576495078963,94,1,ref
46,0.31194195461907565,0.5984705588995776,0.31194195461907565,0.5984705588995776,97,1,ref
47,0.3091894179384354,0.6196423730816281,0.3091894179384354,0.6196423730816281,90,1,ref
48,0.30541538822148695,0.6341746048570953,0.30541538822148695,0.6341746048570953,114,1,ref
49,0.3019328656587791,0.6441172535309163,0.3019328656587791,0.6441172535309163,119,1,ref
50,0.29862915174395444,0.6536139763122777,0.29862915174395444,0.6536139763122777,117,1,ref
51,0.29269443012922675,0.6598213168649911,0.29269443012922675,0.6598213168649911,112,1,ref
52,0.28459306196732953,0.6570680014179273,0.28459306196732953,0.6570680014179273,97,1,ref
53,0.27779549135601445,0.6527460172931496,0.27779549135601445,0.6527460172931496,84,1,ref
54,0.2718960916388061,0.6545373231066502,0.2718960916388061,0.6545373231066502,98,1,ref
55,0.2635170541158537,0.6669237673070509,0.2635170541158537,0.6669237673070509,72,1,ref
56,0.25551593382977067,0.681278758201735,0.25551593382977067,0.681278758201735,74,1,ref
57,0.261616167630959,0.6966750392710188,0.261616167630959,0.6966750392710188,79,1,ref
58,0.2700463610054913,0.7037270976979539,0.2700463610054913,0.7037270976979539,81,1,ref
59,0.2747091221439336,0.7076120614157029,0.2747091221439336,0.7076120614157029,69,1,ref
60,0.28482096263944706,0.7144914403080516,0.28482096263944706,0.7144914403080516,58,1,ref
61,0.3004531352853035,0.7207780614018016,0.3004531352853035,0.7207780614018016,38,1,ref
62,0.31461982134969163,0.7358845883841192,0.31461982134969163,0.7358845883841192,38,1,ref
63,0.31825225897744597,0.7554043264151469,0.31825225897744597,0.7554043264151469,22,1,ref
64,0.3292945811066553,0.7777651315057827,0.3292945811066553,0.7777651315057827,45,1,ref
65,0.3296030048784818,0.7769102049043592,0.3296030048784818,0.7769102049043592,55,1,ref
66,0.3154591900810698,0.8093157459408364,0.3154591900810698,0.8093157459408364,50,1,ref
67,0.31320823111185214,0.8282681393877893,0.31320823111185214,0.8282681393877893,53,1,ref
68,0.3071790132712895,0.8464824635787367,0.3071790132712895,0.8464824635787367,65,1,ref
69,0.3025509311988983,0.8562585145129002,0.3025509311988983,0.8562585145129002,70,1,ref
70,0.29376241003066106,0.8677576682745776,0.29376241003066106,0.8677576682745776,63,1,ref
71,0.2890813112787555,0.880314402732985,0.2890813112787555,0.880314402732985,66,1,ref
72,0.2858590339609895,0.8953479481761564,0.2858590339609895,0.8953479481761564,68,1,ref
73,0.2868902033025568,0.9078306150606092,0.2868902033025568,0.9078306150606092,69,1,ref
74,0.28400855899650085,0.9213039628975754,0.28400855899650085,0.9213039628975754,63,1,ref
75,0.284090300092676,0.9236595723976868,0.284090300092676,0.9236595723976868,55,1,ref
76,0.28014879586162694,0.9338648242882561,0.28014879586162694,0.9338648242882561,60,1,ref
77,0.2745015552461544,0.9438215914145904,0.2745015552461544,0.9438215914145904,49,1,ref
78,0.282547876734427,0.9399596516347866,0.282547876734427,0.9399596516347866,54,1,ref
79,0.28081598725921564,0.9390056786588077,0.28081598725921564,0.9390056786588077,56,1,ref
80,0.2842655900841013,0.9382938914451735,0.2842655900841013,0.9382938914451735,57,1,ref
81,0.29019760504001524,0.9387867340413698,0.29019760504001524,0.9387867340413698,51,1,ref
82,0.2923362715016976,0.9421473601534696,0.2923362715016976,0.9421473601534696,58,1,ref
83,0.29392054657185424,0.952151043983541,0.29392054657185424,0.952151043983541,65,1,ref
84,0.29447920095101165,0.9506523159475089,0.29447920095101165,0.9506523159475089,51,1,ref
85,0.2900137214068563,0.9568318540091192,0.2900137214068563,0.9568318540091192,46,1,ref
86,0.28891319393318665,0.9516944749499556,0.28891319393318665,0.9516944749499556,46,1,ref
87,0.2850784335591048,0.9534616707907029,0.2850784335591048,0.9534616707907029,53,1,ref
88,0.28722149834135946,0.9504427112294263,0.28722149834135946,0.9504427112294263,50,1,ref
89,0.28314611599873546,0.9571715656972866,0.28314611599873546,0.9571715656972866,48,1,ref
90,0.28049128970127146,0.9619848719695283,0.28049128970127146,0.9619848719695283,45,1,ref
91,0.27934897818216464,0.9657638386899465,0.27934897818216464,0.9657638386899465,49,1,ref
92,0.27703441273082385,0.9691518328792259,0.27703441273082385,0.9691518328792259,50,1,ref
93,0.27891175128403894,0.9659753982706849,0.27891175128403894,0.9659753982706849,57,1,ref
94,0.2758578619777231,0.9663318348949064,0.2758578619777231,0.9663318348949064,52,1,ref
95,0.27706435514395095,0.9644393106372329,0.27706435514395095,0.9644393106372329,41,1,ref
96,0.27758494713354004,0.9584506974949956,0.27758494713354004,0.9584506974949956,46,1,ref
97,0.27788717942333013,0.9550457611627001,0.27788717942333013,0.9550457611627001,48,1,ref
98,0.2755964325695503,0.954224501640347,0.2755964325695503,0.954224501640347,43,1,ref
99,0.2785871552258003,0.9485149994439501,0.2785871552258003,0.9485149994439501,46,1,ref
100,0.2800988580065133,0.9432264443394125,0.2800988580065133,0.9432264443394125,40,1,ref
101,0.2859416885545143,0.9343835145129002,0.2859416885545143,0.9343835145129002,38,1,ref
102,0.27990661756426694,0.9345238302101868,0.27990661756426694,0.9345238302101868,38,1,ref
103,0.2817636561763789,0.9280990654887677,0.2817636561763789,0.9280990654887677,34,1,ref
104,0.28273108370288247,0.9207937437444396,0.28273108370288247,0.9207937437444396,46,1,ref
105,0.2825413469200388,0.9155660065891902,0.2825413469200388,0.9155660065891902,46,1,ref
106,0.282009589962843,0.9089023142098531,0.282009589962843,0.9089023142098531,39,1,ref
107,0.27906897432788247,0.9019293191169928,0.27906897432788247,0.9019293191169928,34,1,ref
108,0.273655250701566,0.8977976082907029,0.273655250701566,0.8977976082907029,36,1,ref
109,0.27603552029561046,0.8889407772186386,0.27603552029561046,0.8889407772186386,29,1,ref
110,0.2733346469650776,0.8800113990213521,0.2733346469650776,0.8800113990213521,22,1,ref
111,0.26033943666851445,0.8789294911449064,0.26033943666851445,0.8789294911449064,23,0,ref
112,0.264992589168168,0.8599132388512012,0.264992589168168,0.8599132388512012,28,1,ref
113,0.2569131787758973,0.8634170043510898,0.2569131787758973,0.8634170043510898,22,0,ref
114,0.25344398650784716,0.8480372310108986,0.25344398650784716,0.8480372310108986,26,1,ref
115,0.25627647112319846,0.8594175725645017,0.25627647112319846,0.8594175725645017,18,1,ref
116,0.25695618081780075,0.8229268029915482,0.25695618081780075,0.8229268029915482,14,1,ref
117,0.2747864310863013,0.8122391344389457,0.2747864310863013,0.8122391344389457,13,1,ref
118,0.2502631210699314,0.8751705074649689,0.2502631210699314,0.8751705074649689,16,0,ref
119,0.2512399542358128,0.8849719716136564,0.2512399542358128,0.8849719716136564,24,0,ref
120,0.26453211883747924,0.9064298473643237,0.26453211883747924,0.9064298473643237,20,0,ref
121,0.2648444334313505,0.9011591032306492,0.2648444334313505,0.9011591032306492,28,1,ref
122,0.2666673004759389,0.9089868077179712,0.2666673004759389,0.9089868077179712,32,1,ref
123,0.2683063515538387,0.9176863809497329,0.2683063515538387,0.9176863809497329,31,1,ref
124,0.2687555892504504,0.9219382072258675,0.2687555892504504,0.9219382072258675,38,1,ref
125,0.2732222867910719,0.9307196674822062,0.2732222867910719,0.9307196674822062,32,1,ref
126,0.2767971740857989,0.9384908981594751,0.2767971740857989,0.9384908981594751,33,1,ref
127,0.28292136181748895,0.9420765506839412,0.28292136181748895,0.9420765506839412,26,1,ref
128,0.2833843019743452,0.9464897617326513,0.2833843019743452,0.9464897617326513,23,1,ref
129,0.28465254079476165,0.9465249492604535,0.28465254079476165,0.9465249492604535,33,1,ref
130,0.282999144425149,0.953615018905694,0.282999144425149,0.953615018905694,24,0,ref
131,0.2887236263165189,0.9442742507228647,0.2887236263165189,0.9442742507228647,25,1,ref
132,0.28916386437257485,0.9438302796930604,0.28916386437257485,0.9438302796930604,32,1,ref
133,0.2882152142915916,0.9431547660420372,0.2882152142915916,0.9431547660420372,30,1,ref
134,0.28873536644912345,0.9494494237933719,0.28873536644912345,0.9494494237933719,25,1,ref
135,0.29135141985908053,0.9552054082795816,0.29135141985908053,0.9552054082795816,28,1,ref
136,0.2887383099405834,0.9617120600255782,0.2887383099405834,0.9617120600255782,20,1,ref
137,0.2902340772675305,0.9682877835854091,0.2902340772675305,0.9682877835854091,21,1,ref
138,0.292456447153028,0.9690884084463967,0.292456447153028,0.9690884084463967,20,1,ref
