frame,X,Y,source,inliers
52,0.29997419229729716,0.33145964864028565,fused,84
53,0.2943681195326395,0.3349516454889292,fused,84
54,0.2943853665264787,0.34010705433987803,fused,83
55,0.29641914346172205,0.34034993876960357,fused,82
56,0.27786877894283135,0.33830974215564075,fused,103
57,0.24179165605289474,0.3043516066928223,fused,172
58,0.38673118283132607,0.33709174911489626,fused,98
59,0.5582187934482531,0.34906833547929356,fused,357
60,0.2489411209992722,0.2876881848888605,fused,305
61,0.2598869761807779,0.3027129149270512,fused,198
62,0.34547138838653507,0.3397775029026029,fused,80
63,0.34249225774462216,0.3504287544119637,fused,80
64,0.3167659921321607,0.35204117303869925,fused,83
65,0.3085852447855763,0.3578502323647149,fused,91
66,0.29704740653264433,0.3613591984218589,fused,77
67,0.29354412818764314,0.3670567367741355,fused,79
68,0.28612085747752286,0.3704229404886524,fused,69
69,0.40812878199264524,0.3705732805122432,fused,112
70,0.2632748100995523,0.3312973576777356,fused,178
71,0.25485236151710194,0.3186332657862739,fused,152
72,0.25962062720238577,0.3586283875491952,fused,316
73,0.4651658934163192,0.3966406061573294,fused,159
74,0.2589605043633019,0.33228041138380376,fused,243
75,0.3510751407673634,0.4128976549362467,fused,74
76,0.4331754447602501,0.5231861710157244,fused,176
77,0.21906993564920962,0.3714031516900911,fused,432
78,0.2209484824117873,0.35168378195856126,fused,348
79,0.28682402265564566,0.35146863165782044,fused,500
80,0.35311522220278657,0.34378956222079965,fused,455
81,0.23841663455030931,0.29833199500901303,fused,265
82,0.4274965969954229,0.40745510187216955,fused,70
83,0.46397789597901307,0.3833733085710433,fused,76
84,0.4386660084198612,0.3997393167638299,fused,74
85,0.26431713290177467,0.32615039783015737,fused,482
86,0.35018018872181883,0.3251393289073494,fused,402
87,0.24044449980766328,0.30176724834893065,fused,376
88,0.3688461801785105,0.37044222568967844,fused,119
89,0.416500307475804,0.40780533891610093,fused,82
90,0.23618863984281752,0.34222819099462193,fused,324
91,0.23244032451827826,0.3633529990052331,fused,421
92,0.3445034160929097,0.43396905922182705,fused,70
93,0.33513884689563406,0.44600245350279066,fused,68
94,0.32751300047255977,0.45677460979686646,fused,71
95,0.21991030363928807,0.38264408645684755,fused,493
96,0.3139474622549122,0.46662308335699265,fused,82
97,0.2613657566593061,0.38639511845476526,fused,540
98,0.39460102474511866,0.45683136869367585,fused,92
99,0.34298078173575347,0.46109483755655173,fused,117
100,0.36962965560690647,0.4883366272255067,fused,92
101,0.34410105199503827,0.49184850103604627,fused,87
102,0.34755983976201643,0.5069009978689504,fused,112
103,0.39479659357905184,0.4574884791627072,fused,321
104,0.5011216794819473,0.44440800572305506,fused,104
105,0.45875283858894905,0.4640992402299091,fused,93
106,0.3424171452819266,0.487199101625382,fused,284
107,0.4063857413509435,0.5352214046165849,fused,92
108,0.3849442204294366,0.5391547436933859,fused,88
109,0.23429248694738408,0.4485196461213621,fused,368
110,0.3011255339390115,0.4453423368518224,fused,397
111,0.2713322699118888,0.44451538575881433,fused,491
112,0.6111076932602082,0.45521541861635434,fused,110
113,0.7020385691671006,0.43703589513528407,fused,158
114,0.5349646949458119,0.46745372246129757,fused,89
115,0.5084936943754977,0.4883164429098551,fused,98
116,0.45630328418371696,0.5054515731381628,fused,99
117,0.29244848618456537,0.5045128201907454,fused,549
118,0.37675914089192436,0.4924862615803448,fused,143
119,0.45218024013086017,0.5129816932837524,fused,88
120,0.3289890443031963,0.5090779572247004,fused,629
121,0.2553272057808988,0.5327578965484346,fused,681
