frame,X,Y,Xs,Ys,inliers,ref_idx
1,0.44732753982036444,0.03934052491103257,0.44732755422592163,0.03934052586555481,161,0
2,0.4462015359206104,0.040349668455294196,0.44621264934539795,0.04033970087766647,156,0
3,0.44456607116563884,0.04046413652413294,0.445311576128006,0.04040827229619026,164,0
4,0.4443886496803977,0.04064485271630369,0.44483765959739685,0.0405217781662941,158,0
5,0.44412870893457246,0.042554319116993256,0.4444286823272705,0.04145892709493637,136,0
6,0.43665044746483506,0.04333148562611244,0.44078633189201355,0.04243124648928642,122,0
7,0.43106566300148974,0.04602658960742945,0.4359265863895416,0.044248662889003754,114,0
8,0.4248961049014343,0.06535714037477813,0.43017759919166565,0.05378060042858124,88,0
9,0.4264104128412555,0.06753616061499157,0.4272007644176483,0.06082693114876747,93,0
10,0.41924811995478795,0.08505129559608582,0.4224984049797058,0.072385773062706,82,0
11,0.41885118843975194,0.10434035983374157,0.4193653166294098,0.08740778267383575,86,0
12,0.42237475071672326,0.13076336952290957,0.41873782873153687,0.10726144909858704,81,0
13,0.41566179702657285,0.14205834874054757,0.4159679412841797,0.12459951639175415,79,0
14,0.40538366618018984,0.17043752432718007,0.41049396991729736,0.14633269608020782,77,0
15,0.40080000714557923,0.17403056188834576,0.4052167534828186,0.16223971545696259,70,0
16,0.39536371675140314,0.18547628273743388,0.3997912108898163,0.17685876786708832,76,0
17,0.39249157958443043,0.1922776843305165,0.39514288306236267,0.1889999359846115,65,0
18,0.38045236118088277,0.2019857494856545,0.38797661662101746,0.2003902941942215,80,0
19,0.3709509060811045,0.22386174863767838,0.37990593910217285,0.21526563167572021,58,0
20,0.3691604174425755,0.25601359194283857,0.37372902035713196,0.23591823875904083,60,0
21,0.36213464166002635,0.2677221332156363,0.3672034442424774,0.2540140450000763,63,0
22,0.3625353624974016,0.2991756561387904,0.3628130555152893,0.27659717202186584,59,0
23,0.35937706382734547,0.3156749141598092,0.35880938172340393,0.29759249091148376,55,0
24,0.3606062590943736,0.3385007593555387,0.356462687253952,0.3194296061992645,51,0
25,0.37154988967658675,0.3441359767710188,0.358335942029953,0.3364648222923279,62,1
26,0.3729699382232192,0.3621652406305609,0.36025020480155945,0.353915274143219,60,1
27,0.3778070420225021,0.37989171798543175,0.36324045062065125,0.37156185507774353,79,1
28,0.37816354282150777,0.38980004795929757,0.365608811378479,0.3869309425354004,70,1
29,0.3701696966809867,0.4022229829292705,0.3649548590183258,0.4014317989349365,77,1
30,0.36442988833408396,0.4135120975589417,0.3628097474575043,0.41495978832244873,72,1
31,0.36319372342061046,0.4242799154804273,0.36096158623695374,0.42762839794158936,76,1
32,0.35863144699062843,0.43388393850089013,0.35831496119499207,0.439325213432312,77,1
33,0.3529827853792787,0.4435920036560277,0.35476189851760864,0.4503551721572876,79,1
34,0.3551302823153409,0.45299901996218894,0.3529122471809387,0.46081623435020447,80,1
35,0.3581964530860241,0.45978282779137025,0.35257095098495483,0.4700790345668793,85,1
36,0.3571595659277127,0.4685658084964417,0.3520831763744354,0.4790821969509125,91,1
37,0.3482091865624134,0.47400054388623225,0.34910842776298523,0.4868970811367035,92,1
38,0.34343247508791225,0.4808028143071623,0.34558337926864624,0.49426785111427307,92,1
39,0.3421357486834811,0.4900775515736213,0.3427025079727173,0.502064049243927,91,1
40,0.3382397501537382,0.5023692935387012,0.33951207995414734,0.5110771059989929,88,1
41,0.330963337765036,0.5159325650578293,0.33508825302124023,0.5213572978973389,97,1
42,0.3268524305254816,0.5302473726645909,0.33071479201316833,0.5327842235565186,103,1
43,0.3231715437049612,0.5455719754364994,0.3265078365802765,0.5453459620475769,96,1
44,0.31907599675417475,0.5618279616603647,0.32229992747306824,0.5590091943740845,96,1
45,0.3164440755569221,0.5793576495078963,0.31852778792381287,0.5738502144813538,94,1
46,0.31194195461907565,0.5984705588995776,0.31451791524887085,0.590015172958374,97,1
47,0.3092094472136572,0.6196019725867439,0.31086134910583496,0.6077381372451782,89,1
48,0.30541538822148695,0.6341746048570953,0.30714765191078186,0.6246446967124939,114,1
49,0.3019328656587791,0.6441172535309163,0.30348536372184753,0.639582097530365,119,1
50,0.29862915174395444,0.6536139763122777,0.29991403222084045,0.6529532670974731,117,1
51,0.29275617578341534,0.6598730121218863,0.2956492304801941,0.664226770401001,111,1
52,0.2842283396921771,0.6585172062666818,0.2900959253311157,0.6717239022254944,96,1
53,0.2776152955454892,0.6522824976367882,0.2841728925704956,0.6750357747077942,85,1
54,0.2718960916388061,0.6545373231066502,0.27824708819389343,0.6778170466423035,98,1
55,0.26330417540015244,0.6666007805549379,0.2714734971523285,0.68311607837677,71,1
56,0.255646936116356,0.6816777673904584,0.2643613815307617,0.691143274307251,73,1
57,0.261616167630959,0.6966750392710188,0.26102522015571594,0.7011366486549377,79,1
58,0.2700463610054913,0.7037270976979539,0.2611640393733978,0.7102205753326416,81,1
59,0.27459841979845134,0.7078562020407029,0.2626873552799225,0.7177828550338745,68,1
60,0.28482096263944706,0.7144914403080516,0.26688581705093384,0.7249787449836731,58,1
61,0.30101869164443595,0.7204020761510233,0.2747868299484253,0.7316977977752686,39,1
62,0.31461982134969163,0.7358845883841192,0.2846114933490753,0.7408919930458069,38,1
63,0.32268343162113705,0.7547898479203736,0.2941973805427551,0.7528984546661377,29,1
64,0.3292945811066553,0.7777651315057827,0.30317261815071106,0.7681509256362915,45,1
65,0.3296030048784818,0.7769102049043592,0.30983996391296387,0.778752863407135,55,1
66,0.31359389615957595,0.8105920540480427,0.31001901626586914,0.7961277365684509,51,1
67,0.31320823111185214,0.8282681393877893,0.31006500124931335,0.8137248754501343,53,1
68,0.30927768884899876,0.8454535542009562,0.30897057056427,0.8313351273536682,70,1
69,0.3025509311988983,0.8562585145129002,0.30622291564941406,0.8470745086669922,70,1
70,0.29376241003066106,0.8677576682745776,0.3016655743122101,0.8616517782211304,63,1
71,0.2890813112787555,0.880314402732985,0.2969992756843567,0.8756912350654602,66,1
72,0.2858590339609895,0.8953479481761564,0.29268476366996765,0.8900652527809143,68,1
73,0.2868902033025568,0.9078306150606092,0.2898785471916199,0.9039318561553955,69,1
74,0.28400855899650085,0.9213039628975754,0.28702282905578613,0.9177185893058777,63,1
75,0.284090300092676,0.9236595723976868,0.28500252962112427,0.9281798601150513,55,1
76,0.2801366835634354,0.9339417155527134,0.2824059724807739,0.9385471940040588,61,1
77,0.2770807304297741,0.9426625750667257,0.27965378761291504,0.948388934135437,52,1
78,0.2818352473020025,0.9403501897520017,0.2790828347206116,0.9546088576316833,56,1
79,0.28081598725921564,0.9390056786588077,0.2784053087234497,0.9584774374961853,56,1
80,0.28481365466064995,0.9391724936054269,0.27912256121635437,0.961081862449646,60,1
81,0.29019760504001524,0.9387867340413698,0.2812618315219879,0.9626091122627258,51,1
82,0.2920202014187223,0.9429692712967079,0.2833893299102783,0.9646994471549988,59,1
83,0.29392054657185424,0.952151043983541,0.2855285108089447,0.9686744213104248,65,1
84,0.29447920095101165,0.9506523159475089,0.2872798442840576,0.9708924889564514,51,1
85,0.2912858172160823,0.9546332851423487,0.28764498233795166,0.9734445214271545,48,1
86,0.28827543745019746,0.9520081218027134,0.28705230355262756,0.9743062853813171,46,1
87,0.2851813542604975,0.9534866495913032,0.2857365310192108,0.975147008895874,52,1
88,0.28585619196923506,0.9530663541203293,0.2849999666213989,0.9754214286804199,49,1
89,0.28314611599873546,0.9571715656972866,0.283691942691803,0.9766177535057068,48,1
