frame,X,Y,source,inliers
1,0.7487855245215113,0.2501130193319782,cam2,49
2,0.7465222692175149,0.24945484686748579,cam2,54
3,0.7428796012134464,0.24894332710610012,cam2,57
4,0.7378382430277991,0.2481270337069585,cam2,65
5,0.7317514352770444,0.24740226702008147,cam2,65
6,0.7241460111319252,0.24637823105576465,cam2,72
7,0.7156727719702745,0.24547122391550896,cam2,71
8,0.7065612292012526,0.24460584338404642,cam2,59
9,0.6967167552166187,0.24340525876912675,cam2,62
10,0.6864275510636998,0.24194804332670478,cam2,57
11,0.6759456157233126,0.2402718471511528,cam2,54
12,0.6656223875065392,0.2387136145777941,cam2,65
13,0.6555993836506779,0.23716786439873072,cam2,55
14,0.6457393258131117,0.23562748190682437,cam2,61
15,0.6362507802987302,0.23405091503372988,cam2,55
16,0.6277420545854957,0.23299223979220418,cam2,52
17,0.6195491353801883,0.23211014339455333,cam2,54
18,0.6114855459286592,0.230937112688954,cam2,45
19,0.6036450149504144,0.2296898638977384,cam2,51
20,0.5962586044984598,0.22825657582172912,cam2,48
21,0.5893608417520931,0.22669893445505365,cam2,42
22,0.5827623167301861,0.22481109197636784,cam2,48
23,0.5764431971894507,0.22269611507762285,cam2,46
24,0.5703468742779849,0.22042504195709717,cam2,48
25,0.5643048854450039,0.21758291458300066,cam2,44
26,0.5585339706000324,0.2142645539818198,cam2,45
27,0.5529144153224402,0.21060308892203933,cam2,42
28,0.547296723984575,0.20644260435481884,cam2,42
29,0.5416667124448011,0.20215453061411087,cam2,44
30,0.5345250934306688,0.19753653848843222,cam2,37
31,0.5273229268968345,0.19299290790481932,cam2,45
32,0.5200773085786546,0.188468187307691,cam2,40
33,0.5118454534626861,0.1830661200817018,cam2,52
34,0.5035084161239466,0.1778415863329259,cam2,41
35,0.4948271627131343,0.17258037907197912,cam2,45
36,0.4858455740987918,0.1674871861981066,cam2,52
37,0.47615039050167673,0.16227014210542792,cam2,48
38,0.46628555238659336,0.15766247477305054,cam2,53
39,0.45599983313128245,0.15350875685705515,cam2,54
40,0.445459112494324,0.1499414252441669,cam2,57
41,0.43478607353139515,0.14705504416472712,cam2,62
42,0.4240681282557413,0.14466822116158676,cam2,57
43,0.4134048457496129,0.14278972919554556,cam2,58
44,0.40262745236025116,0.1410900354700214,cam2,57
45,0.39212974338130596,0.13966607359972416,cam2,54
46,0.38190959492687127,0.13839196149015595,cam2,53
47,0.37237194047353533,0.13767122065642357,cam2,45
48,0.3636737763450214,0.1375604673745776,cam2,42
49,0.3555288745602913,0.1377670997611436,cam2,39
50,0.34844252835841727,0.1388916662623839,cam2,41
51,0.3420784065172911,0.14061062986466086,cam2,38
52,0.33653196398388124,0.14269573562642227,cam2,37
53,0.33239490115354,0.14570921132296136,cam2,39
54,0.3291189673812717,0.14892294029597386,cam2,36
55,0.3267919837064272,0.152342665295794,cam2,36
56,0.3255364622323655,0.1560621173759577,cam2,36
57,0.32897881707682003,0.15725563439562262,cam2,32
58,0.3326879370167001,0.15932312127828085,cam2,35
59,0.3371025972449392,0.16105785452801974,cam2,37
60,0.33722091218498235,0.16463304929975453,cam2,38
61,0.33817547023448125,0.16724190383069265,cam2,37
62,0.34003560843220576,0.1691205792570389,cam2,33
63,0.3422166919112629,0.1698090781378131,cam2,36
64,0.3445907298662849,0.16946077840770363,cam2,38
65,0.34720866530651673,0.16846310339110462,cam2,33
66,0.3498808553457355,0.16693464835772953,cam2,35
67,0.3525001668290727,0.16500321059581208,cam2,40
68,0.35928746158756747,0.15927435762035982,cam2,36
69,0.3606390880776591,0.15761049886573264,cam2,36
70,0.36598487147554526,0.15286708618419767,cam2,38
71,0.3654982717311732,0.15024953678469577,cam2,36
72,0.3646156251529038,0.1478577031722406,cam2,43
73,0.36378713054279044,0.14627154770798337,cam2,37
74,0.36695851100910337,0.14280695244182512,cam2,41
75,0.3640636525482082,0.14160377775208913,cam2,40
76,0.3604819144160404,0.14044125087349085,cam2,43
77,0.35621748502167017,0.13974094462610887,cam2,47
78,0.3514792312052549,0.13958028175989284,cam2,45
79,0.3457985312463075,0.13913082962415288,cam2,46
80,0.33906792328895446,0.13819894618552298,cam2,46
81,0.3314243617759644,0.13716620815928976,cam2,48
82,0.32365156879126156,0.13652838853352675,cam2,51
83,0.31527706561784524,0.13589771425310548,cam2,50
84,0.30612965823831434,0.1351679162391319,cam2,52
85,0.29689303353175844,0.1347420021462551,cam2,48
86,0.28723895746437056,0.13449046323231298,cam2,58
87,0.2772806122046924,0.13429322641714408,cam2,55
88,0.26466826849877156,0.1341300677430112,cam2,55
89,0.2523196282914373,0.13377481772669586,cam2,49
90,0.24053252577834977,0.1334903076955241,cam2,52
91,0.2289057096378012,0.1328629205050495,cam2,39
92,0.21801260308336787,0.13243081094950696,cam2,38
93,0.20757940747364773,0.1318523199672793,cam2,36
94,0.19772668048786823,0.1314152770859966,cam2,39
95,0.18863168904201943,0.1310973425319731,cam2,34
96,0.1801606870433405,0.13058195125698158,cam2,30
97,0.1755781467513598,0.1258553892353389,cam2,28
98,0.1712006954418426,0.12219419640417586,cam2,32
99,0.16743604968498718,0.1208429062014322,cam2,29
100,0.16475538692305156,0.12102482448351148,cam2,31
101,0.16174727998612826,0.12002913767996509,cam2,31
102,0.16030721296529027,0.12208461341659485,cam2,25
103,0.15940891297254825,0.12430823794874178,cam2,36
104,0.1591839791911509,0.1264484949240455,cam2,32
105,0.15948924354335847,0.12809184673311505,cam2,34
106,0.16028143968740552,0.12899596691200593,cam2,36
107,0.16095040752308606,0.12757532720156411,cam2,28
108,0.1623753590356228,0.12643544447766977,cam2,29
109,0.16424472191386233,0.12522912330006258,cam2,33
110,0.16685663854098065,0.12566903932861873,cam2,31
111,0.16961914633803687,0.12442728022611366,cam2,29
112,0.1733567715120061,0.12545873742530006,cam2,32
113,0.17692683043962482,0.12589689425576428,cam2,31
114,0.18002787309366003,0.12526863118531983,cam2,35
115,0.1830863935757368,0.12405058297306698,cam2,31
116,0.1860050218664776,0.12107094917173322,cam2,27
117,0.1891788566591544,0.11801225616057026,cam2,30
118,0.19203974375235872,0.11566856795993655,cam2,32
119,0.19428700797876625,0.11375398539619914,cam2,29
120,0.19593400844006356,0.1122347848123364,cam2,35
121,0.19704745256699466,0.11103427158037424,cam2,36
122,0.1980364396626323,0.11167129663972342,cam2,32
123,0.19768295257702378,0.10947155307328907,cam2,30
124,0.19665629268464568,0.10721523561415358,cam2,36
125,0.19507808938033402,0.10531318371662766,cam2,26
126,0.18912523349720528,0.10768777599909157,cam2,31
127,0.18761927570544795,0.10775353059550799,cam2,29
128,0.18132850621757382,0.10977718468420256,cam2,29
129,0.17483710586008266,0.11083457444204196,cam2,41
130,0.16814935177548473,0.11128435275972427,cam2,38
131,0.16179898152316333,0.11187684259324847,cam2,29
132,0.15560648842694702,0.1128115874363115,cam2,33
133,0.1495451461867337,0.11373580330152751,cam2,28
134,0.14337056730374148,0.11424668360530801,cam2,26
135,0.14103852232704156,0.11221237531808385,cam2,26
136,0.13417959486247588,0.11293594403341693,cam2,28
137,0.13123295145546002,0.11087941830430162,cam2,23
138,0.1238866332013255,0.11120600704944043,cam2,27
139,0.11685985253278841,0.11093555305830424,cam2,28
140,0.11325187791855394,0.10563900177941309,cam2,30
141,0.10937259398733662,0.10156595396088544,cam2,21
142,0.1046943898353085,0.0956296125250925,cam2,24
143,0.09993548875717169,0.08980758413327136,cam2,26
144,0.17660155730077665,0.48849782938630903,fused,46
145,0.09094778362116453,0.0792438872827719,cam2,22
146,0.08558631411855605,0.07086843709766347,cam2,23
147,0.08032777998877058,0.0624631030723284,cam2,21
148,0.07593090631585511,0.056357909736751685,cam2,30
149,0.07211216283713007,0.050740280459143944,cam2,26
150,0.06804423777692065,0.04364305511971877,cam2,28
151,0.06459313596310974,0.037659966179488163,cam2,31
152,0.061853058478679744,0.033906564830952016,cam2,28
153,0.05955797928342674,0.030712153925837628,cam2,31
154,0.05750971739872153,0.027749465708088946,cam2,31
155,0.15258747667427253,0.3477740293378146,fused,48
156,0.054212381563156706,0.022900861368206495,cam2,32
157,0.0531535790919667,0.021049304802213183,cam2,31
158,0.05228084469939554,0.019248957615919087,cam2,35
159,0.051304972029093926,0.016962603787909775,cam2,28
160,0.05065882273957499,0.014615853906220342,cam2,29
161,0.04973451290121815,0.011486669477230442,cam2,26
162,0.0485049671167952,0.007729582152240681,cam2,24
163,0.04712986524966184,0.002533086956736469,cam2,29
164,0.04567213543172282,-0.002622091249534482,cam2,25
165,0.04468483752320718,-0.0058175597506028714,cam2,25
166,0.043888817557574414,-0.008616934601342264,cam2,24
167,0.04318233161367269,-0.011097695296533403,cam2,21
168,0.042415576109737244,-0.013750500104778737,cam2,27
169,0.04149935418326089,-0.017788209461639212,cam2,26
170,0.04122938837660611,-0.019501755964275926,cam2,24
171,0.04043125528320146,-0.02157257636717444,cam2,25
172,0.03967868455290651,-0.02305958165434066,cam2,28
173,0.0391924095309979,-0.0237995655968207,cam2,31
174,0.03884345723656637,-0.024027095925069887,cam2,29
175,0.038195499171526856,-0.024559750230625323,cam2,27
176,0.15520961905075922,0.3072910960166408,fused,48
177,0.037817202361657656,-0.025202849644418483,cam2,23
178,0.037672704719890364,-0.025779861546526946,cam2,23
179,0.03677872168127555,-0.027285361353198166,cam2,21
180,0.26039928085953773,0.6274303823076421,fused,65
181,0.04571864065582115,-0.038183788477662926,cam2,24
182,0.04104999424066723,-0.04195184460467314,cam2,23
183,0.037576095670576334,-0.04480114340138752,cam2,21
184,0.21273796103204634,0.5170223590736743,fused,48
185,0.03196537672076903,-0.04896814654338657,cam2,22
186,0.045351020633171424,-0.07169189957906044,cam2,22
187,0.14636777614807847,0.31755685114207,fused,43
188,0.12913343696678115,0.2977715051390615,fused,43
189,0.14401839525629764,0.3960067800222237,fused,41
190,0.08821770453710534,0.15749540752702362,fused,69
191,0.26510120820581023,0.5206556021680387,fused,51
192,0.2587102947171956,0.713545687706271,fused,59
193,0.2400930161502791,0.5756301319324594,fused,53
194,0.20775247498933908,0.440087463479782,fused,36
195,0.18564739442090372,0.4248273068974824,fused,37
196,0.2635884326124408,-0.021601498635476335,cam1,21
197,0.25392208893774926,-0.01966151457232057,cam1,18
198,0.18093124035129934,0.5523860229378793,fused,36
199,0.15837896004472818,0.39847686697136403,fused,34
200,0.14722701457629989,0.39847362290421945,fused,34
201,0.14351762950134753,0.43686569826593485,fused,44
202,0.14671286158496094,0.4876620930738056,fused,38
203,0.255287186151007,-0.030061857852377805,cam1,30
204,0.18008695362408206,0.6109046078369652,fused,43
205,0.264986715913265,-0.03399525470977649,cam1,28
206,0.2710673567988076,0.5116241633909806,fused,37
207,0.3359835967909939,0.659067539136892,fused,53
208,0.40003930295614903,0.6497352658050223,fused,52
209,0.37010022492234096,0.5632719562276133,fused,38
210,0.3277523173300059,0.5297235982498847,fused,40
211,0.29045382562653166,0.4973462213708474,fused,42
212,0.27435802245718377,0.5888471228425948,fused,75
213,0.2643012466451179,0.4304462229398401,fused,54
214,0.23722745948422233,0.43128463402977685,fused,52
215,0.22022077138456347,0.48343623781170963,fused,49
216,0.22461641582150385,0.5427306831318955,fused,44
217,0.18823983096419925,0.3176992822092271,fused,72
218,0.22317906317291986,0.6239660781276586,fused,75
219,0.18526229616535972,0.44434484561874954,fused,44
220,0.18915282410169948,0.527781564326245,fused,40
221,0.18240187024772025,0.4783486647956326,fused,50
222,0.2821838652920047,0.5088481666143272,fused,46
223,0.25315030018931955,0.5608118981219125,fused,43
224,0.3610336118652128,0.48745935609724117,fused,55
225,0.4436712579929226,0.5387466585123282,fused,46
226,0.4756450504237685,0.5802572180281861,fused,56
227,0.5326542243537082,0.5648626748857117,fused,49
228,0.25027857421647826,-0.048826889904308945,cam1,24
229,0.47683536780264174,0.6779636942883346,fused,43
230,0.7118099852217954,0.4910842173106981,fused,73
231,0.2528464779578529,-0.05275953704046965,cam1,23
232,0.25402845484354003,-0.05438504451361015,cam1,25
233,0.626688555620946,0.593995700814992,fused,53
234,0.25469488027297527,-0.057717251358204935,cam1,27
235,0.25017083986108923,-0.05872733182443313,cam1,31
236,0.260584120448205,-0.06363101418638806,cam1,26
237,0.5462049812293949,0.6794901552839274,fused,45
238,0.6777527381581744,0.5658598921767047,fused,54
239,0.03494763612847074,0.3779534358346899,cam1,30
240,0.5646615216568946,0.5899982506657444,fused,81
241,0.5826959464538263,0.6097618862151494,fused,59
242,0.6106817527313068,0.6021886396144209,fused,64
243,0.14562952974121335,0.10507055591654124,cam1,28
244,0.4308444765903617,0.6572521032785122,fused,53
245,0.414535058132871,0.7290819403264545,fused,109
246,0.19792320299716992,0.005110765436887377,cam1,35
247,0.5811786625755374,0.5526996186902826,fused,57
248,0.6452469713512579,0.5112815440628651,fused,70
249,0.5807362334888172,0.5951555837810557,fused,51
250,0.6943976610847853,0.5019825475287647,fused,62
251,0.7359938509562062,0.4782750931463647,fused,69
252,0.6963426471359879,0.5233787894350254,fused,70
253,0.6603433194795002,0.5604205953626618,fused,76
254,0.7361190842272263,0.5054206665135961,fused,77
255,0.7994539498127009,0.45826263479891355,fused,77
256,0.5623797283166962,0.6429485304773076,fused,53
257,0.6356267070010331,0.5886802901555569,fused,86
258,0.22485883148357128,-0.10932741139823532,cam1,27
259,0.22142251963286688,-0.11241286690746621,cam1,27
260,0.21913188652969465,-0.11465762026795667,cam1,27
261,0.9101592657812165,0.42316684603854376,fused,98
262,0.7311666893600719,0.5348452138616643,fused,56
263,0.21096009916294567,-0.12093193879514141,cam1,26
264,0.8195903385171172,0.46754258025562667,fused,75
265,0.8472354666759964,0.44375980991434355,fused,69
266,0.8394427104479882,0.44453577754093354,fused,70
267,0.5754024112192357,0.6198202578212759,fused,43
268,0.7693438792812018,0.48538783360543,fused,65
269,0.7835129097482165,0.4740675377141541,fused,74
270,0.549779602023218,0.6490062587887858,fused,44
271,0.22270137858840006,-0.14617117842703276,cam1,27
272,0.7769624701756703,0.4978031840511912,fused,63
273,0.8103518173685715,0.469758172330419,fused,71
274,0.2239392106961658,-0.15412291148477464,cam1,31
275,0.22707360328197568,-0.15750416287284497,cam1,26
276,0.7014842938911792,0.5327484280729006,fused,63
277,0.2246669734798751,-0.16198659458542664,cam1,33
278,0.5936917541581764,0.6011298024168412,fused,105
279,0.6723583923837546,0.5496187086949622,fused,94
280,0.7469262406023935,0.5012521432773813,fused,65
281,0.8762904286577602,0.45623311643733716,fused,97
282,0.9209944618372541,0.461710728129015,fused,92
283,0.8041121366328519,0.5083891268513095,fused,69
284,0.5497603598285147,0.6401823727778004,fused,45
285,0.7805333048213164,0.49831550956277737,fused,68
286,0.6710133147115164,0.5553789703554928,fused,61
287,0.8072465276696362,0.5043994073849599,fused,75
288,0.6143063073105837,0.5997199436901138,fused,46
289,0.6713443679821505,0.5591286655199612,fused,51
290,0.21496849204410023,-0.18570734921649867,cam1,34
291,0.6891093916536558,0.5394737755092395,fused,57
292,0.6781702477007604,0.5390962175682954,fused,60
293,0.5519050248417365,0.589865803382342,fused,46
