frame,X,Y,Xs,Ys,inliers,ref_idx
1,0.44732753982036444,0.03934052491103257,0.44732753982036444,0.03934052491103257,161,0
2,0.4462015359206104,0.040349668455294196,0.44710233904041363,0.039542353619884896,156,0
3,0.44456607116563884,0.04046413652413294,0.4465950854654587,0.03972671020073451,164,0
4,0.4443886496803977,0.04064485271630369,0.44615379830844654,0.03991033870384835,158,0
5,0.44412870893457246,0.042554319116993256,0.4457487804336717,0.04043913478647733,136,0
6,0.43665044746483506,0.04333148562611244,0.4439291138399044,0.04101760495440435,122,0
7,0.43106566300148974,0.04602658960742945,0.4413564236722215,0.042019401885009376,114,0
8,0.4248961049014343,0.06535714037477813,0.4380643599180641,0.04668694958296313,88,0
9,0.4264104128412555,0.06753616061499157,0.4357335705027024,0.05085679178936882,93,0
10,0.41924811995478795,0.08505129559608582,0.4324364803931195,0.05769569255071222,82,0
11,0.41885118843975194,0.10434035983374157,0.429719422002446,0.0670246260073181,86,0
12,0.42237475071672326,0.13076336952290957,0.4282504877453015,0.0797723747104364,81,0
13,0.41566179702657285,0.14205834874054757,0.4257327496015558,0.09222956951645864,79,0
14,0.40538366618018984,0.17043752432718007,0.4216629329172827,0.10787116047860293,77,0
15,0.40080000714557923,0.17403056188834576,0.417490347762942,0.1211030407605515,70,0
16,0.39536371675140314,0.18547628273743388,0.4130650215606343,0.13397768915592798,76,0
17,0.39249157958443043,0.1922776843305165,0.4089503331653936,0.1456376881908457,65,0
18,0.38045236118088277,0.2019857494856545,0.40325073876849143,0.15690730044980744,80,0
19,0.3709509060811045,0.22386174863767838,0.39679077223101406,0.17029819008738165,58,0
20,0.3691604174425755,0.25601359194283857,0.39126470127332635,0.18744127045847303,60,0
21,0.36213464166002635,0.2677221332156363,0.3854386893506664,0.2034974430099057,63,0
22,0.3625353624974016,0.2991756561387904,0.38085802398001345,0.22263308563568263,59,0
23,0.35937706382734547,0.3156749141598092,0.3765618319494799,0.24124145134050795,55,0
24,0.3606062590943736,0.3385007593555387,0.37337071737845867,0.2606933129435141,51,0
25,0.37154988967658675,0.3441359767710188,0.3730065518380843,0.2773818457090151,62,1
26,0.3729699382232192,0.3621652406305609,0.3729992291151113,0.2943385246933242,60,1
27,0.3778070420225021,0.37989171798543175,0.37396079169658947,0.3114491633517458,79,1
28,0.37816354282150777,0.38980004795929757,0.3748013419215731,0.3271193402732561,70,1
29,0.3701696966809867,0.4022229829292705,0.3738750128734558,0.342140068804459,77,1
30,0.36442988833408396,0.4135120975589417,0.37198598796558147,0.3564144745553556,72,1
31,0.36319372342061046,0.4242799154804273,0.37022753505658723,0.3699875627403699,76,1
32,0.35863144699062843,0.43388393850089013,0.36790831744339547,0.382766837892474,77,1
33,0.3529827853792787,0.4435920036560277,0.3649232110305721,0.3949318710451848,79,1
34,0.3551302823153409,0.45299901996218894,0.36296462528752593,0.40654530082858564,80,1
35,0.3581964530860241,0.45978282779137025,0.36201099084722554,0.41719280622114263,85,1
36,0.3571595659277127,0.4685658084964417,0.361040705863323,0.4274674066762025,91,1
37,0.3482091865624134,0.47400054388623225,0.35847440200314107,0.4367740341182085,92,1
38,0.34343247508791225,0.4808028143071623,0.3554660166200953,0.4455797901559993,92,1
39,0.3421357486834811,0.4900775515736213,0.3527999630327725,0.45447934243952376,91,1
40,0.3382397501537382,0.5023692935387012,0.34988792045696565,0.4640573326593593,88,1
41,0.330963337765036,0.5159325650578293,0.34610300391857973,0.4744323791390533,97,1
42,0.3268524305254816,0.5302473726645909,0.3422528892399601,0.48559537784416085,103,1
43,0.3231715437049612,0.5455719754364994,0.33843662013296033,0.49759069736262856,96,1
44,0.31907599675417475,0.5618279616603647,0.33456449545720324,0.5104381502221759,96,1
45,0.3164440755569221,0.5793576495078963,0.33094041147714703,0.52422205007932,94,1
46,0.31194195461907565,0.5984705588995776,0.3271407201055328,0.5390717518433715,97,1
47,0.3092094472136572,0.6196019725867439,0.3235544655271577,0.5551777959920461,89,1
48,0.30541538822148695,0.6341746048570953,0.31992665006602355,0.570977157765056,114,1
49,0.3019328656587791,0.6441172535309163,0.31632789318457466,0.5856051769182281,119,1
50,0.29862915174395444,0.6536139763122777,0.3127881448964507,0.5992069367970381,117,1
51,0.29275617578341534,0.6598730121218863,0.30878175107384365,0.6113401518620077,111,1
52,0.2842283396921771,0.6585172062666818,0.30387106879751036,0.6207755627429425,96,1
53,0.2776152955454892,0.6522824976367882,0.29861991414710615,0.6270769497217117,85,1
54,0.2718960916388061,0.6545373231066502,0.29327514964544615,0.6325690243986994,98,1
55,0.26330417540015244,0.6666007805549379,0.28728095479638743,0.6393753756299472,71,1
56,0.255646936116356,0.6816777673904584,0.28095415106038113,0.6478358539820495,73,1
57,0.261616167630959,0.6966750392710188,0.2770865543744967,0.6576036910398433,79,1
58,0.2700463610054913,0.7037270976979539,0.2756785157006956,0.6668283723714654,81,1
59,0.27459841979845134,0.7078562020407029,0.2754624965202468,0.675033938305313,68,1
60,0.28482096263944706,0.7144914403080516,0.27733418974408686,0.6829254387058608,58,1
61,0.30101869164443595,0.7204020761510233,0.2820710901241567,0.6904207661948932,39,1
