frame,id,Xs,Ys
191,8,7.4539,0.6759
192,1,2.8395,0.3763
192,8,7.4636,0.6767
193,1,2.8817,0.3822
193,8,7.4822,0.6778
194,1,2.9221,0.3875
194,8,7.4528,0.6782
195,1,2.9572,0.3919
195,8,7.0970,0.6730
196,1,2.9847,0.3952
196,8,6.7142,0.6674
197,1,3.0041,0.3975
197,8,6.3672,0.6629
198,1,3.0238,0.3990
198,8,6.0673,0.6595
199,1,3.0404,0.3991
199,8,5.8134,0.6572
200,1,3.0582,0.3969
200,8,5.5926,0.6556
201,1,3.0767,0.3931
201,8,5.4135,0.6546
202,1,3.0955,0.3882
202,8,5.2687,0.6538
203,1,3.1139,0.3821
203,8,5.1528,0.6533
204,1,3.1242,0.3757
204,8,5.0577,0.6533
205,1,3.1227,0.3691
205,8,4.9817,0.6539
206,1,3.1278,0.3602
206,8,4.9252,0.6548
207,1,3.1415,0.3506
207,8,4.8808,0.6561
208,1,3.1620,0.3406
208,8,4.8458,0.6569
209,1,3.1820,0.3312
209,8,4.8169,0.6577
210,1,3.2016,0.3210
210,8,4.7965,0.6588
211,1,3.2266,0.3108
211,8,4.7828,0.6601
212,1,3.2532,0.3010
212,8,4.7657,0.6615
213,1,3.2778,0.2921
213,8,4.7437,0.6623
214,1,3.2988,0.2843
214,8,4.7251,0.6628
215,1,3.3176,0.2775
215,8,4.7016,0.6629
216,1,3.3356,0.2714
216,8,4.6776,0.6627
217,1,3.3524,0.2658
217,8,4.6490,0.6622
218,1,3.3685,0.2609
218,8,4.6222,0.6611
219,1,3.3874,0.2564
219,8,4.6008,0.6598
220,1,3.4027,0.2523
220,8,4.5868,0.6582
221,1,3.4113,0.2488
221,8,4.5804,0.6569
222,1,3.4177,0.2463
222,8,4.5803,0.6557
223,1,3.4231,0.2449
223,8,4.5823,0.6548
224,1,3.4302,0.2441
224,8,4.5842,0.6537
225,1,3.4402,0.2436
225,8,4.5870,0.6523
226,1,3.4494,0.2438
226,8,4.5886,0.6504
227,1,3.4600,0.2441
227,8,4.5882,0.6481
228,1,3.4720,0.2447
228,8,4.5909,0.6466
229,1,3.4853,0.2459
229,8,4.5955,0.6456
230,1,3.5027,0.2471
230,8,4.5970,0.6443
231,1,3.5164,0.2486
231,8,4.5968,0.6429
232,1,3.5346,0.2499
232,8,4.5935,0.6418
233,1,3.5580,0.2511
233,8,4.5901,0.6406
234,1,3.5851,0.2520
234,8,4.5850,0.6397
235,1,3.6177,0.2527
235,8,4.5759,0.6395
236,1,3.6540,0.2529
236,8,4.5631,0.6397
237,1,3.6888,0.2529
237,8,4.5527,0.6401
238,1,3.7195,0.2529
238,8,4.5433,0.6410
239,1,3.7478,0.2527
239,8,4.5317,0.6422
240,1,3.7703,0.2526
240,8,4.5172,0.6432
241,1,3.7891,0.2520
241,8,4.5158,0.6452
242,1,3.8042,0.2501
242,8,4.5205,0.6472
243,1,3.8176,0.2471
243,8,4.5273,0.6487
244,1,3.8439,0.2428
244,8,4.5351,0.6498
245,1,3.8756,0.2379
245,8,4.5411,0.6506
246,1,3.8941,0.2331
246,8,4.5440,0.6517
247,1,3.9187,0.2278
247,8,4.5413,0.6527
248,1,3.9504,0.2224
248,8,4.5302,0.6534
249,1,3.9890,0.2170
249,8,4.5157,0.6534
250,1,4.0253,0.2121
250,8,4.4967,0.6530
251,1,4.0557,0.2080
251,8,4.4714,0.6522
252,1,4.0823,0.2043
252,8,4.4354,0.6511
253,1,4.1047,0.2014
253,8,4.4051,0.6499
254,1,4.1247,0.1990
254,8,4.3820,0.6490
255,1,4.1426,0.1974
255,8,4.3585,0.6479
256,1,4.1562,0.1966
256,8,4.3456,0.6474
257,1,4.1631,0.1976
257,8,4.3359,0.6473
258,1,4.1667,0.2000
258,8,4.3215,0.6472
259,1,4.1691,0.2035
259,8,4.3014,0.6465
260,1,4.1814,0.2081
260,8,4.2773,0.6455
261,1,4.1907,0.2134
261,8,4.2508,0.6443
262,1,4.2034,0.2189
262,8,4.2300,0.6431
263,1,4.2301,0.2243
263,8,4.2160,0.6416
264,1,4.2696,0.2308
264,8,4.2163,0.6406
265,1,4.3112,0.2374
265,8,4.2211,0.6388
266,1,4.3499,0.2439
266,8,4.2241,0.6359
267,1,4.3839,0.2502
267,8,4.2240,0.6331
268,1,4.4114,0.2560
268,8,4.2238,0.6307
269,1,4.4303,0.2614
269,8,4.2157,0.6284
270,1,4.4495,0.2663
270,8,4.1998,0.6262
271,1,4.4678,0.2711
271,8,4.1739,0.6238
272,1,4.4823,0.2751
272,8,4.1424,0.6213
273,1,4.4922,0.2791
273,8,4.1115,0.6194
274,1,4.4932,0.2835
274,8,4.0813,0.6177
275,1,4.4951,0.2877
275,8,4.0572,0.6165
276,1,4.5062,0.2918
276,8,4.0316,0.6155
277,1,4.5202,0.2953
277,8,3.9947,0.6148
278,1,4.5332,0.2986
278,8,3.9521,0.6146
279,1,4.5463,0.3017
279,8,3.9150,0.6148
280,1,4.5606,0.3046
280,8,3.8843,0.6156
281,1,4.5676,0.3074
281,8,3.8563,0.6165
282,1,4.5953,0.3095
282,8,3.8306,0.6176
283,1,4.6314,0.3116
283,8,3.8030,0.6183
284,1,4.6746,0.3136
284,8,3.7802,0.6184
285,1,4.7165,0.3158
285,8,3.7568,0.6180
286,1,4.7534,0.3185
286,8,3.7360,0.6171
287,1,4.7838,0.3217
287,8,3.7144,0.6159
288,1,4.8091,0.3254
288,8,3.6921,0.6146
289,1,4.8205,0.3299
289,8,3.6706,0.6129
290,1,4.8292,0.3351
290,8,3.6517,0.6102
291,1,4.8382,0.3415
291,8,3.6261,0.6071
292,1,4.8453,0.3477
292,8,3.5974,0.6026
293,1,4.8505,0.3604
293,8,3.5796,0.5956
294,1,4.8591,0.3731
294,8,3.5575,0.5875
295,8,3.5406,0.5800
296,8,3.5292,0.5717
297,8,3.5298,0.5646
298,8,3.5295,0.5578
299,8,3.5270,0.5503
299,9,11.6961,0.5765
300,8,3.5205,0.5426
300,9,11.6749,0.5838
301,8,3.4959,0.5349
301,9,11.6180,0.6087
302,8,3.4731,0.5269
302,9,11.5339,0.6338
303,8,3.4528,0.5196
303,9,11.4534,0.6604
304,8,3.4343,0.5124
304,9,11.3404,0.6859
305,8,3.4089,0.5049
306,8,3.3742,0.4972
306,9,10.3101,0.6931
307,8,3.3448,0.4895
307,9,9.4871,0.7022
308,8,3.3299,0.4822
308,9,8.8591,0.7131
309,8,3.3235,0.4757
309,9,8.3818,0.7240
310,8,3.3197,0.4690
310,9,8.0166,0.7352
311,8,3.3097,0.4623
311,9,7.5756,0.7407
312,8,3.2887,0.4540
312,9,7.1567,0.7447
313,8,3.2527,0.4450
313,9,6.7982,0.7511
314,8,3.2177,0.4365
314,9,6.5037,0.7603
315,8,3.1856,0.4289
315,9,6.2632,0.7703
316,8,3.1575,0.4217
316,9,6.0709,0.7804
317,8,3.1334,0.4144
317,9,5.9174,0.7898
318,8,3.1114,0.4073
318,9,5.7958,0.8021
319,8,3.0933,0.4001
319,9,5.7005,0.8181
320,8,3.0805,0.3930
320,9,5.6253,0.8350
321,8,3.0703,0.3862
321,9,5.5651,0.8515
322,8,3.0475,0.3799
322,9,5.5193,0.8674
323,8,3.0197,0.3742
323,9,5.4697,0.8824
324,8,2.9951,0.3688
324,9,5.4240,0.8954
325,8,2.9734,0.3637
325,9,5.3886,0.9065
326,8,2.9527,0.3587
326,9,5.3626,0.9168
327,8,2.9300,0.3538
327,9,5.3542,0.9270
328,8,2.9021,0.3493
328,9,5.3536,0.9358
329,8,2.8720,0.3448
329,9,5.3683,0.9439
330,8,2.8424,0.3405
330,9,5.3872,0.9525
331,8,2.8162,0.3364
331,9,5.4111,0.9624
332,8,2.7933,0.3322
333,8,2.7785,0.3279
334,8,2.7745,0.3235
335,8,2.7641,0.3198
336,8,2.7511,0.3169
337,8,2.7349,0.3146
338,8,2.7143,0.3130
339,8,2.6945,0.3116
340,8,2.6728,0.3107
341,8,2.6508,0.3103
342,8,2.6300,0.3104
343,8,2.6080,0.3112
344,8,2.5854,0.3126
345,8,2.5665,0.3142
346,8,2.5500,0.3163
347,8,2.5342,0.3188
348,8,2.5112,0.3222
349,8,2.4804,0.3264
350,8,2.4458,0.3312
351,8,2.4150,0.3366
352,8,2.3906,0.3419
353,8,2.3696,0.3470
354,8,2.3512,0.3517
355,8,2.3351,0.3558
356,8,2.3152,0.3595
357,8,2.2879,0.3628
358,8,2.2582,0.3656
359,8,2.2319,0.3678
360,8,2.2056,0.3697
361,8,2.1825,0.3712
362,8,2.1562,0.3727
363,8,2.1282,0.3742
364,8,2.0957,0.3759
365,8,2.0644,0.3776
366,8,2.0364,0.3793
367,8,2.0127,0.3809
368,8,1.9930,0.3825
369,8,1.9779,0.3839
370,8,1.9650,0.3852
371,8,1.9556,0.3866
372,8,1.9481,0.3879
373,8,1.9409,0.3892
374,8,1.9289,0.3906
375,8,1.9084,0.3923
376,8,1.8867,0.3940
377,8,1.8695,0.3956
378,8,1.8538,0.3976
379,8,1.8361,0.3999
380,8,1.7973,0.4032
381,8,1.7518,0.4067
382,8,1.7076,0.4102
383,8,1.6698,0.4137
384,8,1.6392,0.4171
385,8,1.6152,0.4201
386,8,1.5961,0.4230
387,8,1.5810,0.4255
388,8,1.5695,0.4277
389,8,1.5597,0.4296
390,8,1.5490,0.4312
391,8,1.5272,0.4326
392,8,1.4993,0.4339
393,8,1.4674,0.4351
394,8,1.4346,0.4361
395,8,1.4022,0.4368
396,8,1.3714,0.4373
397,8,1.3356,0.4378
398,8,1.2993,0.4379
399,8,1.2657,0.4377
400,8,1.2366,0.4372
401,8,1.2127,0.4365
402,8,1.1938,0.4356
403,8,1.1784,0.4349
404,8,1.1649,0.4343
405,8,1.1547,0.4339
406,8,1.1479,0.4337
407,8,1.1418,0.4335
408,8,1.1256,0.4336
409,8,1.0889,0.4341
410,8,1.0460,0.4351
411,8,1.0083,0.4361
412,8,0.9673,0.4377
413,8,0.9241,0.4399
414,8,0.8824,0.4422
415,8,0.8448,0.4447
416,8,0.8128,0.4471
417,8,0.7861,0.4493
418,8,0.7646,0.4515
419,8,0.7480,0.4535
420,8,0.7352,0.4555
421,8,0.7250,0.4574
422,8,0.7167,0.4592
423,8,0.7078,0.4610
424,8,0.6890,0.4625
425,8,0.6598,0.4638
426,8,0.6248,0.4650
427,8,0.5884,0.4659
428,8,0.5519,0.4664
429,8,0.5167,0.4668
430,8,0.4798,0.4668
431,8,0.4419,0.4667
432,8,0.4074,0.4664
433,8,0.3783,0.4659
434,8,0.3545,0.4653
435,8,0.3355,0.4646
436,8,0.3205,0.4638
437,8,0.3088,0.4630
438,8,0.3002,0.4621
439,8,0.2932,0.4614
440,8,0.2869,0.4607
441,8,0.2704,0.4604
442,8,0.2432,0.4608
443,8,0.2104,0.4615
444,8,0.1737,0.4624
445,8,0.1364,0.4637
446,8,0.1000,0.4654
447,8,0.0663,0.4675
448,8,0.0335,0.4698
449,8,-0.0014,0.4723
450,8,-0.0332,0.4748
451,8,-0.0600,0.4776
452,8,-0.0815,0.4804
453,8,-0.0972,0.4831
454,8,-0.1103,0.4858
455,8,-0.1210,0.4880
456,8,-0.1293,0.4899
457,8,-0.1359,0.4915
458,8,-0.1405,0.4927
459,8,-0.1434,0.4936
460,8,-0.1451,0.4938
461,8,-0.1461,0.4935
462,8,-0.1467,0.4929
463,8,-0.1467,0.4920
464,8,-0.1467,0.4911
465,8,-0.1464,0.4904
466,8,-0.1461,0.4894
467,8,-0.1454,0.4879
468,8,-0.1447,0.4860
469,8,-0.1441,0.4835
