frame,id,x,y
300,1,2.1870,0.1436
301,1,2.1871,0.1443
302,1,2.1871,0.1453
303,1,2.1870,0.1464
304,1,2.1870,0.1475
305,1,2.1870,0.1509
306,1,2.1870,0.1551
307,1,2.1869,0.1597
308,1,2.1865,0.1648
309,1,2.1862,0.1695
310,1,2.1861,0.1741
311,1,2.1861,0.1768
312,1,2.1860,0.1765
313,1,2.1858,0.1753
314,1,2.1856,0.1750
315,1,2.1854,0.1752
316,1,2.1852,0.1763
317,1,2.1851,0.1790
318,1,2.1847,0.1807
319,1,2.1841,0.1823
320,1,2.1830,0.1835
321,1,2.1820,0.1829
322,1,2.1808,0.1813
323,1,2.1791,0.1798
324,1,2.1763,0.1798
325,1,2.1729,0.1791
326,1,2.1692,0.1791
327,1,2.1629,0.1802
328,1,2.1540,0.1811
329,1,2.1423,0.1814
330,1,2.1283,0.1811
331,1,2.1130,0.1801
332,1,2.0948,0.1778
333,1,2.0740,0.1751
334,1,2.0520,0.1720
335,1,2.0281,0.1681
336,1,2.0039,0.1635
337,1,1.9794,0.1578
338,1,1.9545,0.1519
339,1,1.9300,0.1464
340,1,1.9084,0.1423
341,1,1.8910,0.1390
342,1,1.8772,0.1364
343,1,1.8664,0.1346
344,1,1.8584,0.1336
345,1,1.8523,0.1333
346,1,1.8475,0.1332
347,1,1.8437,0.1335
348,1,1.8406,0.1339
349,1,1.8382,0.1345
350,1,1.8362,0.1350
351,1,1.8348,0.1355
352,1,1.8332,0.1358
353,1,1.8313,0.1361
354,1,1.8294,0.1364
355,1,1.8272,0.1365
356,1,1.8244,0.1364
357,1,1.8211,0.1360
358,1,1.8165,0.1354
359,1,1.8106,0.1345
360,1,1.8017,0.1329
361,1,1.7918,0.1311
362,1,1.7806,0.1289
363,1,1.7682,0.1264
364,1,1.7539,0.1235
365,1,1.7390,0.1215
366,1,1.7223,0.1198
367,1,1.7001,0.1177
368,1,1.6757,0.1158
369,1,1.6513,0.1140
370,1,1.6273,0.1121
371,1,1.6036,0.1099
372,1,1.5808,0.1084
373,1,1.5606,0.1072
374,1,1.5441,0.1067
375,1,1.5301,0.1065
376,1,1.5187,0.1073
377,1,1.5095,0.1083
378,1,1.5021,0.1093
379,1,1.4966,0.1105
380,1,1.4924,0.1115
381,1,1.4889,0.1121
382,1,1.4859,0.1121
383,1,1.4832,0.1119
384,1,1.4808,0.1115
385,1,1.4786,0.1108
386,1,1.4766,0.1099
387,1,1.4748,0.1089
388,1,1.4728,0.1079
389,1,1.4701,0.1068
390,1,1.4670,0.1057
391,1,1.4635,0.1048
392,1,1.4593,0.1040
393,1,1.4542,0.1030
394,1,1.4477,0.1015
395,1,1.4396,0.1000
396,1,1.4321,0.0988
397,1,1.4228,0.0974
398,1,1.4114,0.0959
399,1,1.3977,0.0940
400,1,1.3808,0.0915
401,1,1.3618,0.0886
402,1,1.3404,0.0852
403,1,1.3170,0.0812
404,1,1.2943,0.0772
405,1,1.2734,0.0735
406,1,1.2520,0.0697
407,1,1.2331,0.0666
408,1,1.2179,0.0644
409,1,1.2058,0.0628
410,1,1.1956,0.0616
411,1,1.1874,0.0611
412,1,1.1810,0.0608
413,1,1.1759,0.0608
414,1,1.1718,0.0612
415,1,1.1689,0.0618
416,1,1.1669,0.0625
417,1,1.1654,0.0634
418,1,1.1643,0.0644
419,1,1.1634,0.0654
420,1,1.1628,0.0664
421,1,1.1619,0.0670
422,1,1.1603,0.0672
423,1,1.1574,0.0669
424,1,1.1531,0.0663
425,1,1.1469,0.0649
426,1,1.1385,0.0631
427,1,1.1288,0.0607
428,1,1.1183,0.0581
429,1,1.1052,0.0548
430,1,1.0905,0.0515
431,1,1.0762,0.0482
432,1,1.0615,0.0450
433,1,1.0491,0.0424
434,1,1.0365,0.0400
435,1,1.0206,0.0370
436,1,1.0049,0.0343
437,1,0.9888,0.0320
438,1,0.9730,0.0299
439,1,0.9598,0.0286
440,1,0.9477,0.0277
441,1,0.9371,0.0272
442,1,0.9282,0.0268
443,1,0.9209,0.0263
444,1,0.9153,0.0259
445,1,0.9109,0.0256
446,1,0.9074,0.0257
447,1,0.9043,0.0261
448,1,0.9016,0.0274
449,1,0.8990,0.0301
450,1,0.8966,0.0344
451,1,0.8952,0.0399
452,1,0.8941,0.0455
453,1,0.8931,0.0505
454,1,0.8922,0.0553
455,1,0.8908,0.0580
456,1,0.8883,0.0597
457,1,0.8839,0.0622
458,1,0.8793,0.0648
459,1,0.8759,0.0681
460,1,0.8698,0.0715
461,1,0.8622,0.0748
462,1,0.8526,0.0776
463,1,0.8399,0.0786
464,1,0.8261,0.0772
465,1,0.8107,0.0761
466,1,0.7956,0.0749
467,1,0.7794,0.0725
468,1,0.7642,0.0730
469,1,0.7502,0.0733
470,1,0.7378,0.0745
471,1,0.7270,0.0763
472,1,0.7171,0.0728
473,1,0.7096,0.0754
474,1,0.7031,0.0810
475,1,0.6980,0.0870
476,1,0.6945,0.0927
477,1,0.6917,0.0977
478,1,0.6895,0.1033
479,1,0.6879,0.1090
480,1,0.6864,0.1142
481,1,0.6853,0.1185
482,1,0.6844,0.1221
483,1,0.6835,0.1254
484,1,0.6829,0.1287
485,1,0.6824,0.1333
