frame,id,Xs,Ys
260,1,-0.0654,0.3119
261,1,-0.0639,0.3111
262,1,-0.0609,0.3103
264,1,-0.0578,0.3108
265,1,-0.0555,0.3132
266,1,-0.0533,0.3155
267,1,-0.0519,0.3172
268,1,-0.0470,0.2955
269,1,-0.0417,0.2705
270,1,-0.0379,0.2510
271,1,-0.0337,0.2398
272,1,-0.0252,0.2374
273,1,-0.0195,0.2421
274,1,-0.0047,0.2531
275,1,0.0138,0.2654
276,1,0.0342,0.2768
277,1,0.0543,0.2870
278,1,0.0728,0.2956
279,1,0.0885,0.3024
280,1,0.1013,0.3079
281,1,0.1105,0.3146
282,1,0.1170,0.3198
283,1,0.1228,0.3268
284,1,0.1299,0.3349
285,1,0.1386,0.3499
286,1,0.1484,0.3695
287,1,0.1592,0.3980
288,1,0.1711,0.4334
289,1,0.1834,0.4708
290,1,0.1962,0.5081
291,1,0.2096,0.5393
292,1,0.2231,0.5632
293,1,0.2379,0.5798
294,1,0.2527,0.5933
295,1,0.2666,0.6059
296,1,0.2793,0.6169
297,1,0.2903,0.6254
298,1,0.2996,0.6328
299,1,0.3073,0.6420
300,1,0.3131,0.6567
301,1,0.3172,0.6753
302,1,0.3195,0.7002
303,1,0.3204,0.7259
304,1,0.3202,0.7589
305,1,0.3195,0.7998
306,1,0.3185,0.8472
307,1,0.3177,0.8974
308,1,0.3171,0.9472
309,1,0.3168,0.9907
310,1,0.3169,1.0281
311,1,0.3172,1.0570
312,1,0.3182,1.0807
313,1,0.3196,1.1004
314,1,0.3216,1.1170
315,1,0.3245,1.1296
316,1,0.3283,1.1401
317,1,0.3328,1.1489
318,1,0.3381,1.1586
319,1,0.3442,1.1708
320,1,0.3510,1.1894
321,1,0.3588,1.2125
322,1,0.3676,1.2498
323,1,0.3764,1.2957
324,1,0.3847,1.3536
325,1,0.3922,1.4114
326,1,0.3983,1.4607
327,1,0.4037,1.5008
328,1,0.4088,1.5336
329,1,0.4134,1.5597
330,1,0.4174,1.5806
331,1,0.4210,1.5969
332,1,0.4243,1.6116
333,1,0.4262,1.6253
334,1,0.4266,1.6377
335,1,0.4260,1.6505
336,1,0.4251,1.6651
337,1,0.4238,1.6825
338,1,0.4219,1.7010
339,1,0.4193,1.7201
340,1,0.4166,1.7452
341,1,0.4145,1.7781
342,1,0.4135,1.8160
343,1,0.4134,1.8635
344,1,0.4138,1.9151
345,1,0.4147,1.9636
346,1,0.4154,2.0055
347,1,0.4155,2.0400
348,1,0.4156,2.0674
349,1,0.4158,2.0919
350,1,0.4163,2.1114
351,1,0.4182,2.1257
352,1,0.4207,2.1362
353,1,0.4238,2.1450
354,1,0.4287,2.1528
355,1,0.4344,2.1619
356,1,0.4403,2.1742
357,1,0.4462,2.1936
358,1,0.4522,2.2167
359,1,0.4583,2.2463
360,1,0.4643,2.2868
361,1,0.4701,2.3359
362,1,0.4754,2.3855
363,1,0.4805,2.4321
364,1,0.4852,2.4735
365,1,0.4900,2.5096
366,1,0.4942,2.5391
367,1,0.4978,2.5628
368,1,0.5007,2.5814
369,1,0.5032,2.5963
370,1,0.5052,2.6082
371,1,0.5066,2.6183
372,1,0.5074,2.6269
373,1,0.5078,2.6343
374,1,0.5074,2.6416
375,1,0.5064,2.6494
376,1,0.5041,2.6576
377,1,0.5006,2.6687
378,1,0.4967,2.6813
379,1,0.4929,2.6957
380,1,0.4891,2.7153
381,1,0.4857,2.7375
382,1,0.4828,2.7620
383,1,0.4811,2.7898
384,1,0.4803,2.8248
385,1,0.4798,2.8624
386,1,0.4793,2.8995
387,1,0.4792,2.9342
388,1,0.4797,2.9648
389,1,0.4808,2.9910
390,1,0.4824,3.0118
391,1,0.4842,3.0284
392,1,0.4863,3.0415
393,1,0.4884,3.0522
394,1,0.4907,3.0609
395,1,0.4930,3.0678
396,1,0.4954,3.0734
397,1,0.4979,3.0780
398,1,0.5005,3.0820
399,1,0.5032,3.0859
400,1,0.5063,3.0899
401,1,0.5096,3.0947
402,1,0.5132,3.1026
403,1,0.5172,3.1142
404,1,0.5217,3.1317
405,1,0.5264,3.1507
406,1,0.5311,3.1715
407,1,0.5354,3.1916
408,1,0.5393,3.2102
409,1,0.5426,3.2275
410,1,0.5453,3.2423
411,1,0.5468,3.2532
412,1,0.5477,3.2629
