frame,id,x,y
613,1,0.9707,3.5182
614,2,0.3108,0.5920
614,1,0.9509,3.4822
615,2,0.3132,0.5666
615,1,0.9345,3.4599
616,2,0.3145,0.5378
616,1,0.9212,3.4486
617,2,0.3155,0.5110
617,1,0.9107,3.4464
618,2,0.3172,0.4868
618,1,0.9013,3.4461
619,2,0.3194,0.4664
619,1,0.8917,3.4448
620,2,0.3225,0.4506
620,1,0.8822,3.4425
621,2,0.3265,0.4384
621,1,0.8733,3.4392
622,2,0.3310,0.4302
622,1,0.8649,3.4354
623,2,0.3364,0.4258
623,1,0.8580,3.4337
624,2,0.3420,0.4238
624,1,0.8529,3.4335
625,2,0.3478,0.4237
625,1,0.8469,3.4312
626,2,0.3535,0.4242
626,1,0.8413,3.4289
627,2,0.3588,0.4247
627,1,0.8370,3.4275
628,2,0.3649,0.4254
628,1,0.8385,3.4304
629,2,0.3705,0.4261
629,1,0.8400,3.4329
630,2,0.3771,0.4277
630,1,0.8389,3.4350
631,2,0.3836,0.4284
631,1,0.8373,3.4363
632,2,0.3898,0.4288
632,1,0.8374,3.4384
633,2,0.3965,0.4296
633,1,0.8378,3.4387
634,2,0.4027,0.4303
634,1,0.8390,3.4388
635,2,0.4087,0.4312
635,1,0.8376,3.4355
636,2,0.4155,0.4312
636,1,0.8355,3.4302
637,2,0.4232,0.4313
637,1,0.8348,3.4293
638,2,0.4327,0.4334
638,1,0.8347,3.4312
639,2,0.4451,0.4352
639,1,0.8350,3.4360
640,2,0.4589,0.4377
640,1,0.8360,3.4416
641,2,0.4760,0.4424
641,1,0.8388,3.4515
642,2,0.4957,0.4479
642,1,0.8426,3.4635
643,2,0.5183,0.4550
643,1,0.8462,3.4750
644,2,0.5427,0.4627
644,1,0.8488,3.4831
645,2,0.5690,0.4684
645,1,0.8500,3.4900
646,2,0.5962,0.4731
646,1,0.8512,3.4978
647,2,0.6240,0.4798
647,1,0.8522,3.5081
648,2,0.6516,0.4869
648,1,0.8519,3.5177
649,2,0.6781,0.4934
649,1,0.8521,3.5279
650,2,0.7034,0.4993
650,1,0.8533,3.5386
651,2,0.7254,0.5041
651,1,0.8567,3.5520
652,2,0.7472,0.5088
652,1,0.8590,3.5624
653,2,0.7695,0.5142
653,1,0.8596,3.5732
654,1,0.8606,3.5903
655,1,0.8620,3.6102
655,2,0.7954,0.5210
656,1,0.8641,3.6337
656,2,0.8178,0.5269
657,1,0.8672,3.6617
658,1,0.8734,3.6931
659,1,0.8825,3.7303
660,1,0.8922,3.7686
660,2,0.8372,0.5324
661,1,0.9019,3.8070
662,1,0.9120,3.8492
663,1,0.9201,3.8902
664,1,0.9246,3.9252
672,2,0.8631,0.5401
673,2,0.8862,0.5469
674,2,0.9062,0.5536
678,2,0.9449,0.5782
679,2,0.9908,0.6248
680,2,1.0358,0.6759
681,2,1.0754,0.7234
694,2,1.1052,0.7601
695,2,1.1284,0.7885
696,2,1.1465,0.8105
697,2,1.1610,0.8295
698,2,1.1727,0.8455
699,2,1.1823,0.8587
700,2,1.1907,0.8704
701,2,1.1987,0.8811
702,2,1.2059,0.8910
703,2,1.2122,0.9007
704,2,1.2176,0.9108
705,2,1.2223,0.9218
706,2,1.2272,0.9347
707,2,1.2327,0.9496
708,2,1.2392,0.9647
709,2,1.2468,0.9795
710,2,1.2546,0.9941
711,2,1.2625,1.0082
712,2,1.2757,1.0293
715,2,1.2958,1.0750
716,2,1.3154,1.1221
717,2,1.3419,1.1701
718,2,1.3668,1.2145
719,2,1.3876,1.2522
720,2,1.4052,1.2823
721,2,1.4186,1.3059
722,2,1.4271,1.3241
722,1,0.9234,3.9746
723,2,1.4279,1.3375
723,1,0.9241,4.0153
724,2,1.4253,1.3466
724,1,0.9349,4.0587
725,2,1.4230,1.3535
725,1,0.9586,4.1079
726,2,1.4259,1.3601
726,1,0.9838,4.1495
727,2,1.4257,1.3639
727,1,1.0070,4.1892
728,2,1.4267,1.3679
728,1,1.0250,4.2216
729,2,1.4270,1.3701
729,1,1.0369,4.2402
730,2,1.4247,1.3699
730,1,1.0427,4.2515
731,2,1.4199,1.3688
731,1,1.0502,4.2649
732,2,1.4131,1.3674
732,1,1.0563,4.2767
733,2,1.4046,1.3658
734,2,1.3952,1.3641
735,2,1.3860,1.3616
736,2,1.3771,1.3603
737,2,1.3695,1.3610
737,1,1.0556,4.3054
738,2,1.3630,1.3629
739,2,1.3557,1.3634
740,2,1.3481,1.3646
740,1,1.0663,4.3669
741,2,1.3405,1.3651
742,2,1.3338,1.3664
743,2,1.3296,1.3750
743,1,1.0733,4.4256
744,2,1.3261,1.3862
744,1,1.0801,4.4779
745,2,1.3242,1.3995
745,1,1.0836,4.5232
746,2,1.3220,1.4120
746,1,1.0870,4.5645
747,2,1.3197,1.4238
747,1,1.0868,4.5987
748,2,1.3185,1.4382
748,1,1.0889,4.6358
749,2,1.3190,1.4572
749,1,1.0919,4.6728
750,2,1.3213,1.4815
750,1,1.0944,4.7065
751,2,1.3258,1.5078
751,1,1.0951,4.7359
752,2,1.3313,1.5387
752,1,1.0939,4.7564
753,2,1.3393,1.5756
753,1,1.0872,4.7630
754,2,1.3495,1.6182
754,1,1.0699,4.7511
755,2,1.3599,1.6623
755,1,1.0538,4.7382
756,2,1.3719,1.7062
756,1,1.0419,4.7307
757,2,1.3841,1.7520
757,1,1.0273,4.7198
758,2,1.3969,1.7969
758,1,1.0091,4.6997
759,2,1.4102,1.8372
760,2,1.4203,1.8693
761,2,1.4253,1.8940
762,2,1.4243,1.9114
763,2,1.4202,1.9229
764,2,1.4152,1.9306
765,2,1.4105,1.9363
766,2,1.4062,1.9408
767,2,1.4025,1.9440
768,2,1.3993,1.9450
768,1,0.9972,4.6769
769,2,1.3942,1.9432
769,1,0.9803,4.6498
770,2,1.3874,1.9399
770,1,0.9634,4.6253
771,2,1.3796,1.9356
771,1,0.9483,4.6033
772,2,1.3713,1.9301
772,1,0.9146,4.5597
773,2,1.3624,1.9241
773,1,0.8775,4.5127
774,2,1.3546,1.9219
774,1,0.8440,4.4705
775,2,1.3480,1.9197
775,1,0.8154,4.4356
776,2,1.3421,1.9183
776,1,0.7907,4.4078
777,2,1.3353,1.9147
777,1,0.7695,4.3829
778,2,1.3305,1.9154
778,1,0.7518,4.3612
779,2,1.3273,1.9190
779,1,0.7373,4.3407
780,2,1.3259,1.9254
780,1,0.7259,4.3238
781,2,1.3249,1.9315
781,1,0.7160,4.3067
782,2,1.3256,1.9391
782,1,0.7068,4.2886
783,2,1.3263,1.9458
784,2,1.3267,1.9525
785,2,1.3261,1.9587
786,2,1.3239,1.9615
787,2,1.3205,1.9629
788,2,1.3182,1.9648
789,2,1.3218,1.9778
790,2,1.3346,2.0206
791,2,1.3483,2.0664
792,2,1.3608,2.1129
792,1,0.6827,4.2670
793,2,1.3709,2.1546
793,1,0.6626,4.2555
794,2,1.3763,2.1805
794,1,0.6459,4.2484
795,2,1.3798,2.2025
796,2,1.3818,2.2365
796,1,0.6306,4.2481
797,2,1.3840,2.2713
797,1,0.6163,4.2345
798,2,1.3833,2.3016
798,1,0.6036,4.2181
799,2,1.3785,2.3272
799,1,0.5931,4.2182
800,2,1.3761,2.3515
801,2,1.3720,2.3704
801,1,0.5844,4.2256
802,2,1.3656,2.3792
802,1,0.5760,4.2284
803,2,1.3565,2.3801
803,1,0.5677,4.2270
804,2,1.3475,2.3834
804,1,0.5606,4.2272
805,2,1.3374,2.3858
805,1,0.5559,4.2304
806,2,1.3263,2.3861
807,2,1.3147,2.3841
807,1,0.5516,4.2302
808,2,1.3024,2.3780
808,1,0.5496,4.2349
809,2,1.2914,2.3741
810,2,1.2816,2.3728
811,2,1.2721,2.3722
812,2,1.2619,2.3708
812,1,0.5473,4.2449
813,2,1.2505,2.3671
814,2,1.2389,2.3636
815,2,1.2279,2.3617
816,2,1.2180,2.3613
817,2,1.2098,2.3645
818,2,1.2029,2.3682
819,2,1.1965,2.3712
820,2,1.1907,2.3734
821,2,1.1859,2.3742
822,2,1.1829,2.3807
823,2,1.1816,2.3927
824,2,1.1837,2.4160
825,2,1.1920,2.4623
826,2,1.2016,2.5103
827,2,1.2102,2.5537
828,2,1.2170,2.5906
829,2,1.2244,2.6326
830,2,1.2302,2.6681
831,2,1.2349,2.6976
832,2,1.2404,2.7315
833,2,1.2483,2.7707
834,2,1.2566,2.8126
835,2,1.2653,2.8555
836,2,1.2718,2.8942
837,2,1.2769,2.9304
838,2,1.2802,2.9605
839,2,1.2815,2.9846
840,2,1.2803,2.9986
841,2,1.2780,3.0055
842,2,1.2739,3.0061
843,2,1.2692,3.0046
844,2,1.2644,3.0017
845,2,1.2601,2.9991
846,2,1.2564,2.9972
847,2,1.2536,2.9975
848,2,1.2525,3.0010
849,2,1.2517,3.0043
850,2,1.2508,3.0065
851,2,1.2508,3.0122
852,2,1.2522,3.0239
853,2,1.2549,3.0410
854,2,1.2591,3.0593
855,2,1.2702,3.0924
856,2,1.2915,3.1552
857,2,1.3180,3.2316
858,2,1.3429,3.3048
859,2,1.3831,3.4392
860,2,1.4271,3.5897
861,2,1.4412,3.6354
862,2,1.4425,3.6429
863,2,1.4375,3.6354
864,2,1.4307,3.6241
865,2,1.4239,3.6126
866,2,1.4192,3.6035
867,2,1.4156,3.5974
868,2,1.4124,3.5930
869,2,1.4070,3.5859
870,2,1.3995,3.5775
871,2,1.3887,3.5658
872,2,1.3785,3.5552
873,2,1.3702,3.5477
874,2,1.3637,3.5407
875,2,1.3569,3.5336
876,2,1.3493,3.5254
877,2,1.3415,3.5169
878,2,1.3348,3.5100
879,2,1.3290,3.5043
880,2,1.3225,3.4981
881,2,1.3161,3.4917
882,2,1.3100,3.4857
883,2,1.3040,3.4793
884,2,1.2985,3.4734
885,2,1.2932,3.4678
886,2,1.2877,3.4628
887,2,1.2824,3.4589
888,2,1.2785,3.4561
889,2,1.2761,3.4571
890,2,1.2725,3.4559
891,2,1.2687,3.4568
892,2,1.2651,3.4613
893,2,1.2614,3.4667
894,2,1.2581,3.4698
895,2,1.2554,3.4736
896,2,1.2541,3.4805
897,2,1.2551,3.4951
898,2,1.2560,3.5084
899,2,1.2578,3.5242
900,2,1.2633,3.5573
901,2,1.2691,3.5948
902,2,1.2753,3.6347
903,2,1.2829,3.6782
904,2,1.2917,3.7263
905,2,1.3002,3.7761
906,2,1.3077,3.8234
907,2,1.3154,3.8703
908,2,1.3226,3.9143
909,2,1.3293,3.9568
910,2,1.3351,3.9955
911,2,1.3395,4.0256
912,2,1.3425,4.0496
913,2,1.3449,4.0695
914,2,1.3463,4.0848
915,2,1.3469,4.0981
916,2,1.3437,4.1034
917,2,1.3388,4.1023
918,2,1.3327,4.0960
919,2,1.3261,4.0891
920,2,1.3196,4.0800
921,2,1.3140,4.0717
922,2,1.3096,4.0659
923,2,1.3067,4.0617
924,2,1.3029,4.0531
925,2,1.2997,4.0449
926,2,1.2981,4.0440
927,2,1.2968,4.0454
928,2,1.2945,4.0433
929,2,1.2917,4.0403
930,2,1.2894,4.0399
931,2,1.2878,4.0434
932,2,1.2873,4.0502
933,2,1.2874,4.0587
934,2,1.2886,4.0683
935,2,1.2888,4.0766
936,2,1.2887,4.0834
937,2,1.2887,4.0909
938,2,1.2886,4.0966
939,2,1.2894,4.1038
940,2,1.2914,4.1129
941,2,1.2938,4.1226
942,2,1.2969,4.1357
943,2,1.3003,4.1514
944,2,1.3029,4.1656
945,2,1.3041,4.1787
946,2,1.3039,4.1901
947,2,1.3024,4.1999
948,2,1.3005,4.2079
949,2,1.2976,4.2135
950,2,1.2958,4.2200
951,2,1.2946,4.2254
952,2,1.2942,4.2298
953,2,1.2938,4.2319
954,2,1.2927,4.2323
955,2,1.2889,4.2339
956,2,1.2386,4.1887
956,3,1.8201,5.8633
957,3,1.8191,5.8593
958,3,1.8172,5.8539
959,3,1.8150,5.8477
960,3,1.8121,5.8419
961,3,1.8119,5.8456
961,2,1.2452,4.2022
962,3,1.8107,5.8482
962,2,1.1398,4.2021
962,2,1.1731,4.2216
963,3,1.8070,5.8446
963,2,1.0809,4.2148
963,2,1.1281,4.2362
964,3,1.8011,5.8360
964,2,1.0445,4.2201
964,2,1.0994,4.2427
965,3,1.7935,5.8236
965,2,1.0203,4.2163
965,2,1.0794,4.2369
966,3,1.7824,5.8054
966,2,1.0043,4.2108
966,2,1.0648,4.2293
967,3,1.7714,5.7868
967,2,0.9935,4.2087
967,2,1.0568,4.2267
968,3,1.7655,5.7797
968,2,0.9864,4.2064
968,2,1.0520,4.2252
969,3,1.7590,5.7688
969,2,0.9822,4.2018
969,2,1.0495,4.2224
970,3,1.7528,5.7590
970,2,0.9811,4.2015
970,2,1.0482,4.2204
971,3,1.7538,5.7653
971,2,0.9763,4.1726
971,2,1.0438,4.1934
972,2,0.9721,4.1407
972,2,1.0392,4.1658
973,2,0.9664,4.1042
973,2,1.0340,4.1365
974,2,0.9607,4.0738
974,2,1.0073,4.0952
974,3,1.7449,5.7465
975,2,0.9348,4.0254
975,2,0.9835,4.0526
975,3,1.7397,5.7210
976,2,0.9141,3.9825
976,2,0.9914,4.0475
976,3,1.7356,5.6934
977,2,0.9141,3.9648
977,2,1.0009,4.0444
977,3,1.7313,5.6636
978,2,0.9204,3.9567
978,2,1.0051,4.0353
979,2,0.9206,3.9417
979,2,1.0063,4.0260
979,3,1.7246,5.6239
980,2,0.9189,3.9254
980,2,1.0065,4.0147
980,3,1.7195,5.5931
981,2,0.9171,3.9130
981,2,1.0048,4.0040
981,3,1.7151,5.5695
982,2,0.9135,3.8963
982,2,1.0030,3.9906
982,3,1.7122,5.5558
983,2,0.9117,3.8852
983,2,0.9985,3.9664
983,3,1.7097,5.5454
984,2,0.9105,3.8651
984,2,0.9958,3.9427
984,3,1.7080,5.5375
985,2,0.9127,3.8501
985,2,1.0069,3.9544
986,2,0.9240,3.8690
986,2,1.0130,3.9668
986,3,1.7015,5.5307
987,2,0.9303,3.8799
987,2,1.0188,3.9794
987,3,1.6998,5.5339
988,2,0.9417,3.8856
988,2,1.0259,3.9760
989,2,0.9514,3.8811
989,2,1.0315,3.9652
990,2,0.9599,3.8752
990,2,1.0379,3.9570
991,2,0.9783,3.8761
991,2,1.0617,3.9799
992,2,1.0069,3.9021
992,2,1.0760,3.9799
992,3,1.6994,5.5290
993,2,1.0285,3.9077
993,2,1.0895,3.9752
993,3,1.6996,5.5219
994,2,1.0469,3.9101
994,2,1.1034,3.9713
994,3,1.7004,5.5161
995,2,1.0670,3.9189
995,3,1.7003,5.5105
996,2,1.0371,3.8768
996,3,1.7029,5.5138
997,2,1.0088,3.8377
997,3,1.7085,5.5210
998,2,0.9784,3.7987
998,3,1.7166,5.5337
999,2,0.9574,3.7691
999,3,1.7247,5.5468
1000,2,0.9520,3.7520
1000,3,1.7337,5.5580
1001,2,0.9518,3.7394
1001,3,1.7409,5.5623
1002,2,0.9530,3.7300
1002,3,1.7483,5.5714
