frame,id,Xs,Ys
21,1,-0.0158,1.1593
22,1,-0.0414,1.1501
23,1,-0.0721,1.1373
24,1,-0.1037,1.1194
25,1,-0.1163,1.1083
26,1,-0.1138,1.1037
27,1,-0.1014,1.1007
28,1,-0.0825,1.0973
29,1,-0.0611,1.0949
30,1,-0.0385,1.0908
31,1,-0.0171,1.0801
32,1,0.0031,1.0648
33,1,0.0198,1.0446
34,1,0.0352,1.0261
35,1,0.0516,1.0003
36,1,0.0670,0.9734
37,1,0.0809,0.9484
38,1,0.0965,0.9265
39,1,0.1163,0.9054
40,1,0.1423,0.8843
41,1,0.1735,0.8629
42,1,0.2089,0.8420
43,1,0.2452,0.8216
44,1,0.2776,0.8020
45,1,0.3059,0.7824
46,1,0.3297,0.7632
47,1,0.3485,0.7443
48,1,0.3645,0.7262
49,1,0.3778,0.7091
50,1,0.3890,0.6928
51,1,0.3992,0.6775
52,1,0.4092,0.6634
53,1,0.4202,0.6504
54,1,0.4328,0.6382
55,1,0.4509,0.6271
56,1,0.4772,0.6164
57,1,0.5091,0.6067
58,1,0.5471,0.5976
59,1,0.5881,0.5890
60,1,0.6280,0.5807
61,1,0.6643,0.5711
62,1,0.6932,0.5616
63,1,0.7159,0.5524
64,1,0.7366,0.5436
65,1,0.7558,0.5352
66,1,0.7738,0.5272
67,1,0.7915,0.5193
68,1,0.8081,0.5119
69,1,0.8688,0.5036
70,1,0.9341,0.4950
71,1,0.9556,0.4884
72,1,0.9760,0.4821
73,1,1.0104,0.4762
74,1,1.0484,0.4706
75,1,1.0888,0.4655
76,1,1.1222,0.4611
77,1,1.1504,0.4571
78,1,1.1752,0.4534
79,1,1.1973,0.4499
80,1,1.2116,0.4469
81,1,1.2229,0.4439
82,1,1.2343,0.4411
83,1,1.2494,0.4384
84,1,1.2640,0.4361
85,1,1.2801,0.4339
86,1,1.2980,0.4319
87,1,1.3240,0.4298
88,1,1.3644,0.4270
89,1,1.4069,0.4241
90,1,1.4546,0.4203
91,1,1.4998,0.4163
92,1,1.5390,0.4125
93,1,1.5768,0.4088
94,1,1.6121,0.4055
95,1,1.6391,0.4028
96,1,1.6572,0.4007
97,1,1.6691,0.3989
98,1,1.6784,0.3971
99,1,1.6894,0.3949
100,1,1.7036,0.3921
101,1,1.7356,0.3881
102,1,1.7764,0.3834
103,1,1.8313,0.3779
104,1,1.8849,0.3721
105,1,1.9346,0.3665
106,1,1.9805,0.3614
107,1,2.0234,0.3566
108,1,2.0604,0.3523
109,1,2.0921,0.3484
110,1,2.1195,0.3450
111,1,2.1415,0.3422
112,1,2.1576,0.3401
113,1,2.1753,0.3387
114,1,2.1979,0.3376
115,1,2.2263,0.3363
116,1,2.2596,0.3354
117,1,2.2971,0.3348
118,1,2.3486,0.3341
119,1,2.3980,0.3343
120,1,2.4461,0.3346
121,1,2.4921,0.3344
122,1,2.5286,0.3343
123,1,2.5611,0.3339
124,1,2.5909,0.3332
125,1,2.6161,0.3328
126,1,2.6357,0.3326
127,1,2.6541,0.3326
128,1,2.6745,0.3324
129,1,2.7010,0.3324
130,1,2.7336,0.3325
131,1,2.7742,0.3325
132,1,2.8117,0.3330
133,1,2.8547,0.3332
134,1,2.8971,0.3334
135,1,2.9401,0.3333
136,1,2.9812,0.3333
137,1,3.0166,0.3336
138,1,3.0485,0.3344
139,1,3.0902,0.3350
140,1,3.1320,0.3362
141,1,3.1849,0.3370
142,1,3.2342,0.3381
143,1,3.2833,0.3393
143,2,-0.1227,1.1005
144,1,3.3214,0.3415
144,2,-0.1201,1.1013
145,1,3.3523,0.3450
145,2,-0.1144,1.1035
146,1,3.3813,0.3499
146,2,-0.1046,1.1080
147,1,3.4067,0.3563
147,2,-0.0915,1.1137
148,1,3.4279,0.3638
148,2,-0.0759,1.1199
149,1,3.4429,0.3746
149,2,-0.0529,1.1274
150,1,3.4638,0.3857
150,2,-0.0278,1.1339
151,1,3.4835,0.3968
151,2,-0.0078,1.1371
152,1,3.5013,0.4076
152,2,0.0063,1.1372
153,1,3.5224,0.4180
153,2,0.0190,1.1360
154,1,3.5404,0.4277
154,2,0.0321,1.1335
155,1,3.5549,0.4371
155,2,0.0461,1.1290
156,1,3.5643,0.4455
156,2,0.0601,1.1227
157,1,3.5715,0.4528
157,2,0.0723,1.1149
158,1,3.5756,0.4594
158,2,0.0823,1.1066
159,1,3.5817,0.4649
159,2,0.0913,1.0984
160,1,3.5908,0.4693
160,2,0.0992,1.0888
161,1,3.6016,0.4722
161,2,0.1058,1.0776
162,1,3.6152,0.4740
