frame,X,Y,source
252,6.0104,0.3305,cam1
253,6.0479,0.3306,cam1
254,6.0862,0.3321,cam1
255,6.1279,0.3351,cam1
256,6.1662,0.3394,cam1
257,6.1975,0.3452,cam1
258,6.2288,0.3521,cam1
259,6.257,0.3607,cam1
260,6.2806,0.3707,cam1
260,6.829655000000001,0.5821675,cam2
261,6.2974,0.3828,cam1
261,6.831155000000001,0.5813675,cam2
262,6.319,0.3941,cam1
262,6.834155000000001,0.5805675,cam2
263,6.3482,0.4044,cam1
264,6.4127,0.4147,cam1
264,6.837255000000001,0.5810675000000001,cam2
265,6.488,0.4248,cam1
265,6.839555000000001,0.5834675,cam2
266,6.5617,0.4349,cam1
266,6.841755000000001,0.5857675,cam2
267,6.638,0.4466,cam1
267,6.843155000000001,0.5874675,cam2
268,6.7088,0.4612,cam1
268,6.848055000000001,0.5657675,cam2
269,6.7576,0.4771,cam1
269,6.853355000000001,0.5407675000000001,cam2
270,6.7917,0.4936,cam1
270,6.857155000000001,0.5212675,cam2
271,6.8072,0.51,cam1
271,6.861355000000001,0.5100675,cam2
272,6.8316,0.5258,cam1
272,6.869855000000001,0.5076674999999999,cam2
273,6.8653,0.5417,cam1
273,6.875555000000001,0.5123675,cam2
274,6.8919,0.5568,cam1
274,6.890355000000001,0.5233675,cam2
275,6.9196,0.5708,cam1
275,6.908855000000001,0.5356675,cam2
276,6.9448,0.5832,cam1
276,6.929255000000001,0.5470675,cam2
277,6.9812,0.5944,cam1
277,6.949355000000001,0.5572675,cam2
278,7.0213,0.6046,cam1
278,6.967855000000001,0.5658675,cam2
279,7.0485,0.615,cam1
279,6.983555000000001,0.5726675,cam2
280,7.0688,0.6256,cam1
280,6.996355000000001,0.5781675,cam2
281,7.0818,0.6363,cam1
281,7.005555000000001,0.5848675,cam2
282,7.0891,0.6473,cam1
282,7.012055000000001,0.5900675,cam2
283,7.1026,0.6586,cam1
283,7.017855000000001,0.5970675,cam2
284,7.118,0.6719,cam1
284,7.024955000000001,0.6051675,cam2
285,7.1512,0.6883,cam1
285,7.033655000000001,0.6201675,cam2
286,7.1855,0.7083,cam1
286,7.043455000000001,0.6397675,cam2
287,7.2172,0.7328,cam1
287,7.054255000000001,0.6682675,cam2
288,7.2517,0.7602,cam1
288,7.066155000000001,0.7036675,cam2
289,7.2736,0.7913,cam1
289,7.078455000000001,0.7410675,cam2
290,7.2924,0.8191,cam1
290,7.091255000000001,0.7783675,cam2
291,7.3069,0.8442,cam1
291,7.104655000000001,0.8095675,cam2
292,7.3157,0.867,cam1
292,7.118155000000001,0.8334675,cam2
293,7.3129,0.8881,cam1
293,7.132955000000001,0.8500675,cam2
294,7.3118,0.9066,cam1
294,7.147755000000001,0.8635675,cam2
295,7.313,0.9231,cam1
295,7.161655000000001,0.8761675,cam2
296,7.3127,0.9382,cam1
296,7.174355000000001,0.8871675,cam2
297,7.327,0.9522,cam1
297,7.185355000000001,0.8956675,cam2
298,7.3481,0.9663,cam1
298,7.194655000000001,0.9030675,cam2
299,7.3728,0.9814,cam1
299,7.202355000000001,0.9122675,cam2
300,7.3856,0.9967,cam1
300,7.208155000000001,0.9269674999999999,cam2
301,7.212255000000001,0.9455675,cam2
302,7.214555000000001,0.9704675,cam2
303,7.215455000000001,0.9961675,cam2
304,7.215255000000001,1.0291675,cam2
305,7.214555000000001,1.0700675,cam2
306,7.213555000000001,1.1174675,cam2
307,7.212755000000001,1.1676674999999999,cam2
308,7.212155000000001,1.2174675000000001,cam2
309,7.211855000000001,1.2609675,cam2
310,7.2119550000000014,1.2983675,cam2
311,7.212255000000001,1.3272675,cam2
312,7.213255000000001,1.3509674999999999,cam2
313,7.214655000000001,1.3706675000000001,cam2
314,7.216655000000001,1.3872675,cam2
315,7.2195550000000015,1.3998675,cam2
316,7.223355000000001,1.4103675,cam2
317,7.227855000000001,1.4191675,cam2
318,7.233155000000001,1.4288675,cam2
319,7.239255000000001,1.4410675,cam2
320,7.246055000000001,1.4596675000000001,cam2
321,7.2538550000000015,1.4827675,cam2
322,7.262655000000001,1.5200675000000001,cam2
323,7.271455000000001,1.5659675000000002,cam2
324,7.279755000000001,1.6238674999999998,cam2
325,7.287255000000001,1.6816675,cam2
326,7.293355000000001,1.7309675000000002,cam2
327,7.298755000000001,1.7710675,cam2
328,7.303855000000001,1.8038675,cam2
329,7.308455000000001,1.8299675,cam2
330,7.312455000000001,1.8508675,cam2
331,7.316055000000001,1.8671674999999999,cam2
332,7.319355000000001,1.8818674999999998,cam2
333,7.321255000000001,1.8955674999999998,cam2
334,7.321655000000001,1.9079674999999998,cam2
335,7.321055000000001,1.9207675000000002,cam2
336,7.320155000000001,1.9353675,cam2
337,7.318855000000001,1.9527675000000002,cam2
338,7.316955000000001,1.9712675000000002,cam2
339,7.314355000000001,1.9903675,cam2
340,7.311655000000001,2.0154675,cam2
341,7.309555000000001,2.0483675,cam2
342,7.308555000000001,2.0862675,cam2
343,7.308455000000001,2.1337675,cam2
344,7.308855000000001,2.1853675,cam2
345,7.309755000000001,2.2338675,cam2
346,7.310455000000001,2.2757675,cam2
347,7.310555000000001,2.3102675,cam2
348,7.3106550000000015,2.3376675000000002,cam2
349,7.310855000000001,2.3621675,cam2
350,7.311355000000001,2.3816675000000003,cam2
351,7.313255000000001,2.3959675000000002,cam2
352,7.315755000000001,2.4064675,cam2
353,7.318855000000001,2.4152675,cam2
354,7.323755000000001,2.4230675,cam2
355,7.329455000000001,2.4321675000000003,cam2
356,7.335355000000001,2.4444675,cam2
357,7.341255000000001,2.4638675,cam2
358,7.347255000000001,2.4869675,cam2
359,7.353355000000001,2.5165675000000003,cam2
360,7.359355000000001,2.5570675,cam2
361,7.3651550000000015,2.6061675,cam2
362,7.370455000000001,2.6557675,cam2
363,7.375555000000001,2.7023675000000003,cam2
364,7.380255000000001,2.7437675,cam2
365,7.385055000000001,2.7798675,cam2
366,7.389255000000001,2.8093675,cam2
367,7.392855000000001,2.8330675000000003,cam2
368,7.395755000000001,2.8516675,cam2
369,7.398255000000001,2.8665675,cam2
370,7.400255000000001,2.8784675,cam2
371,7.401655000000001,2.8885675,cam2
372,7.402455000000001,2.8971675,cam2
373,7.402855000000001,2.9045675,cam2
374,7.402455000000001,2.9118675,cam2
375,7.401455000000001,2.9196675,cam2
376,7.399155000000001,2.9278675,cam2
377,7.395655000000001,2.9389675,cam2
378,7.391755000000001,2.9515675,cam2
379,7.387955000000001,2.9659675,cam2
380,7.384155000000001,2.9855675,cam2
381,7.380755000000001,3.0077675,cam2
382,7.377855000000001,3.0322675,cam2
383,7.376155000000001,3.0600675,cam2
384,7.375355000000001,3.0950675000000003,cam2
385,7.374855000000001,3.1326675,cam2
386,7.374355000000001,3.1697675000000003,cam2
387,7.374255000000001,3.2044675000000002,cam2
388,7.374755000000001,3.2350675,cam2
389,7.375855000000001,3.2612675,cam2
390,7.377455000000001,3.2820675,cam2
391,7.3792550000000015,3.2986675,cam2
392,7.381355000000001,3.3117675,cam2
393,7.383455000000001,3.3224675,cam2
394,7.385755000000001,3.3311675000000003,cam2
395,7.388055000000001,3.3380675,cam2
396,7.390455000000001,3.3436675,cam2
397,7.392955000000001,3.3482675,cam2
398,7.395555000000001,3.3522675,cam2
399,7.398255000000001,3.3561675,cam2
400,7.401355000000001,3.3601675,cam2
401,7.404655000000001,3.3649675,cam2
402,7.408255000000001,3.3728675,cam2
403,7.412255000000001,3.3844675,cam2
404,7.416755000000001,3.4019675,cam2
405,7.421455000000001,3.4209675,cam2
406,7.426155000000001,3.4417675,cam2
407,7.430455000000001,3.4618675000000003,cam2
408,7.434355000000001,3.4804675,cam2
409,7.437655000000001,3.4977675,cam2
410,7.440355000000001,3.5125675000000003,cam2
411,7.441855000000001,3.5234675,cam2
412,7.442755000000001,3.5331675000000002,cam2
