frame,id,Xs,Ys
1,1,0.4618,3.6739
2,1,0.4606,3.6750
3,1,0.4600,3.6753
4,1,0.4592,3.6756
5,1,0.4584,3.6754
6,1,0.4582,3.6729
7,1,0.4579,3.6715
8,1,0.4576,3.6703
9,1,0.4575,3.6696
10,1,0.4571,3.6691
11,1,0.4565,3.6665
12,1,0.4559,3.6641
13,1,0.4550,3.6616
14,1,0.4540,3.6592
15,1,0.4530,3.6570
16,1,0.4517,3.6559
17,1,0.4505,3.6551
18,1,0.4490,3.6538
19,1,0.4465,3.6520
20,1,0.4433,3.6494
21,1,0.4389,3.6467
22,1,0.4319,3.6435
23,1,0.4260,3.6383
24,1,0.4221,3.6316
25,1,0.4188,3.6236
26,1,0.4156,3.6129
27,1,0.4132,3.5988
28,1,0.4115,3.5823
29,1,0.4101,3.5657
30,1,0.4086,3.5488
31,1,0.4070,3.5330
32,1,0.4053,3.5176
33,1,0.4038,3.5037
34,1,0.4025,3.4904
35,1,0.4018,3.4759
36,1,0.4010,3.4635
37,1,0.4001,3.4512
38,1,0.3994,3.4387
39,1,0.3990,3.4256
40,1,0.3987,3.4126
41,1,0.3980,3.3997
42,1,0.3969,3.3874
43,1,0.3954,3.3762
44,1,0.3937,3.3667
45,1,0.3915,3.3589
46,1,0.3887,3.3537
47,1,0.3852,3.3500
48,1,0.3812,3.3476
49,1,0.3769,3.3459
50,1,0.3723,3.3447
51,1,0.3673,3.3441
52,1,0.3616,3.3444
53,1,0.3553,3.3449
54,1,0.3485,3.3453
55,1,0.3412,3.3457
56,1,0.3338,3.3455
57,1,0.3260,3.3446
58,1,0.3186,3.3425
59,1,0.3114,3.3405
60,1,0.3044,3.3389
61,1,0.2976,3.3345
62,1,0.2910,3.3268
63,1,0.2852,3.3154
64,1,0.2803,3.2978
65,1,0.2765,3.2724
66,1,0.2734,3.2431
67,1,0.2711,3.2132
68,1,0.2693,3.1842
69,1,0.2677,3.1571
70,1,0.2663,3.1330
71,1,0.2652,3.1122
72,1,0.2644,3.0932
73,1,0.2636,3.0769
74,1,0.2630,3.0625
75,1,0.2636,3.0483
76,1,0.2646,3.0325
77,1,0.2655,3.0154
78,1,0.2659,2.9961
79,1,0.2656,2.9781
80,1,0.2636,2.9618
81,1,0.2608,2.9480
82,1,0.2577,2.9364
83,1,0.2545,2.9268
84,1,0.2511,2.9187
85,1,0.2478,2.9118
86,1,0.2445,2.9062
87,1,0.2415,2.9018
88,1,0.2388,2.8983
89,1,0.2363,2.8954
90,1,0.2340,2.8930
91,1,0.2316,2.8912
92,1,0.2292,2.8897
93,1,0.2269,2.8886
94,1,0.2247,2.8876
95,1,0.2230,2.8872
96,1,0.2212,2.8876
97,1,0.2194,2.8870
98,1,0.2179,2.8836
99,1,0.2166,2.8708
100,1,0.2154,2.8511
101,1,0.2141,2.8271
102,1,0.2130,2.7996
103,1,0.2122,2.7700
104,1,0.2115,2.7409
105,1,0.2111,2.7136
106,1,0.2109,2.6867
107,1,0.2108,2.6593
108,1,0.2109,2.6324
109,1,0.2110,2.6072
110,1,0.2113,2.5861
111,1,0.2119,2.5673
112,1,0.2126,2.5489
113,1,0.2135,2.5293
114,1,0.2146,2.5098
115,1,0.2156,2.4913
116,1,0.2167,2.4751
117,1,0.2178,2.4620
118,1,0.2192,2.4518
119,1,0.2207,2.4438
120,1,0.2224,2.4371
121,1,0.2241,2.4311
122,1,0.2257,2.4262
123,1,0.2276,2.4217
124,1,0.2298,2.4176
125,1,0.2331,2.4148
126,1,0.2364,2.4128
127,1,0.2399,2.4110
128,1,0.2434,2.4097
129,1,0.2471,2.4078
130,1,0.2514,2.4063
131,1,0.2554,2.4050
132,1,0.2593,2.4025
133,1,0.2629,2.3941
134,1,0.2665,2.3804
135,1,0.2704,2.3634
136,1,0.2744,2.3434
137,1,0.2787,2.3195
138,1,0.2831,2.2958
139,1,0.2875,2.2734
140,1,0.2924,2.2520
141,1,0.2976,2.2319
142,1,0.3032,2.2132
143,1,0.3093,2.1957
144,1,0.3157,2.1791
145,1,0.3221,2.1633
146,1,0.3286,2.1470
147,1,0.3353,2.1298
148,1,0.3423,2.1117
149,1,0.3495,2.0937
150,1,0.3569,2.0769
151,1,0.3647,2.0620
152,1,0.3729,2.0491
153,1,0.3816,2.0384
154,1,0.3905,2.0293
155,1,0.3990,2.0221
156,1,0.4071,2.0167
157,1,0.4151,2.0124
158,1,0.4235,2.0099
159,1,0.4316,2.0082
160,1,0.4392,2.0068
161,1,0.4466,2.0056
162,1,0.4534,2.0040
163,1,0.4603,2.0027
164,1,0.4672,2.0016
165,1,0.4737,2.0001
166,1,0.4800,1.9966
167,1,0.4860,1.9857
168,1,0.4912,1.9674
169,1,0.4957,1.9426
170,1,0.4997,1.9132
171,1,0.5034,1.8830
172,1,0.5065,1.8515
173,1,0.5093,1.8208
174,1,0.5119,1.7902
175,1,0.5142,1.7610
176,1,0.5164,1.7326
177,1,0.5183,1.7063
178,1,0.5200,1.6812
179,1,0.5217,1.6587
180,1,0.5235,1.6387
181,1,0.5254,1.6203
182,1,0.5273,1.6021
183,1,0.5290,1.5831
184,1,0.5310,1.5635
185,1,0.5328,1.5459
186,1,0.5347,1.5310
187,1,0.5367,1.5187
188,1,0.5386,1.5087
189,1,0.5406,1.5009
190,1,0.5425,1.4946
191,1,0.5444,1.4894
192,1,0.5463,1.4855
193,1,0.5481,1.4826
194,1,0.5499,1.4804
195,1,0.5516,1.4788
196,1,0.5532,1.4777
197,1,0.5548,1.4769
198,1,0.5564,1.4764
199,1,0.5582,1.4756
200,1,0.5600,1.4747
201,1,0.5616,1.4723
202,1,0.5631,1.4673
203,1,0.5642,1.4560
204,1,0.5649,1.4376
205,1,0.5654,1.4161
206,1,0.5656,1.3908
207,1,0.5658,1.3633
208,1,0.5661,1.3356
209,1,0.5664,1.3081
210,1,0.5668,1.2819
211,1,0.5674,1.2559
212,1,0.5681,1.2320
213,1,0.5688,1.2106
214,1,0.5695,1.1918
215,1,0.5703,1.1747
216,1,0.5712,1.1586
217,1,0.5720,1.1429
218,1,0.5729,1.1281
219,1,0.5737,1.1165
220,1,0.5745,1.1060
