frame,id,Xs,Ys
106,1,0.8837,1.7053
106,2,0.1447,1.4491
107,1,0.8834,1.7113
107,2,0.1451,1.4577
108,1,0.8833,1.7155
108,2,0.1452,1.4661
109,1,0.8832,1.7194
109,2,0.1445,1.4750
110,1,0.8836,1.7231
110,2,0.1436,1.4844
111,1,0.8841,1.7252
111,2,0.1426,1.4960
112,1,0.8849,1.7278
112,2,0.1416,1.5095
113,1,0.8861,1.7305
113,2,0.1408,1.5218
114,1,0.8878,1.7346
114,2,0.1403,1.5325
115,1,0.8900,1.7415
115,2,0.1400,1.5403
116,1,0.8926,1.7512
116,2,0.1398,1.5461
117,1,0.8956,1.7629
117,2,0.1397,1.5504
118,1,0.8987,1.7740
118,2,0.1401,1.5537
119,1,0.9025,1.7865
119,2,0.1419,1.5560
120,1,0.9060,1.8027
120,2,0.1437,1.5586
121,1,0.9091,1.8233
121,2,0.1449,1.5626
122,1,0.9116,1.8474
122,2,0.1457,1.5681
123,1,0.9133,1.8715
123,2,0.1460,1.5747
124,1,0.9140,1.8924
124,2,0.1460,1.5822
124,15,0.5911,-0.1882
125,1,0.9143,1.9133
125,2,0.1460,1.5893
125,15,0.5911,-0.1883
126,1,0.9141,1.9346
126,2,0.1459,1.5959
126,15,0.5910,-0.1881
127,1,0.9127,1.9547
127,2,0.1458,1.6017
127,15,0.5909,-0.1874
128,1,0.9101,1.9725
128,2,0.1456,1.6063
129,1,0.9064,1.9874
129,2,0.1455,1.6103
129,15,0.5909,-0.1868
130,1,0.9023,2.0006
130,2,0.1453,1.6137
130,15,0.5908,-0.1863
131,1,0.8982,2.0124
131,2,0.1450,1.6170
132,1,0.8948,2.0237
132,2,0.1445,1.6201
133,1,0.8916,2.0336
133,2,0.1441,1.6228
134,1,0.8877,2.0410
134,2,0.1435,1.6260
135,1,0.8841,2.0469
135,2,0.1429,1.6299
136,1,0.8810,2.0537
136,2,0.1424,1.6348
137,1,0.8777,2.0605
137,2,0.1419,1.6408
138,1,0.8739,2.0693
138,2,0.1409,1.6510
139,1,0.8699,2.0811
139,2,0.1396,1.6626
140,1,0.8650,2.0940
140,2,0.1380,1.6750
141,1,0.8593,2.1092
141,2,0.1366,1.6870
142,1,0.8535,2.1264
142,2,0.1354,1.6971
143,1,0.8481,2.1460
143,2,0.1346,1.7056
144,1,0.8428,2.1661
144,2,0.1346,1.7125
145,1,0.8381,2.1852
145,2,0.1352,1.7187
146,1,0.8336,2.2035
146,2,0.1364,1.7239
147,1,0.8295,2.2202
147,2,0.1379,1.7281
148,1,0.8260,2.2346
148,2,0.1399,1.7323
149,1,0.8231,2.2470
149,2,0.1421,1.7360
150,1,0.8205,2.2573
150,2,0.1442,1.7393
151,1,0.8185,2.2662
151,2,0.1463,1.7424
152,1,0.8165,2.2715
152,2,0.1479,1.7459
153,1,0.8150,2.2775
153,2,0.1490,1.7508
154,1,0.8140,2.2845
154,2,0.1499,1.7550
155,1,0.8133,2.2906
155,2,0.1509,1.7589
156,1,0.8131,2.2944
156,2,0.1520,1.7623
